sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-D8-A1XW-01A,BRCA,simu_bulk_2ds_ref,0.001,0.012,0.005,0.451,0.006,0.07,0.169,0.286,0,0.001,0
TCGA-OL-A5RZ-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.864,0.007,0.031,0.056,0.044,0,0,0
TCGA-BH-A42V-01A,BRCA,simu_bulk_2ds_ref,0.008,0.043,0.006,0.445,0.017,0.141,0.254,0.074,0.006,0.005,0
TCGA-BH-A0B7-01A,BRCA,simu_bulk_2ds_ref,0.026,0.045,0.029,0.437,0.017,0.106,0.202,0.133,0.003,0.001,0
TCGA-C8-A1HO-01A,BRCA,simu_bulk_2ds_ref,0,0.005,0.01,0.764,0.014,0.047,0.114,0.045,0.001,0,0
TCGA-A8-A09A-01A,BRCA,simu_bulk_2ds_ref,0,0.011,0.017,0.558,0.009,0.068,0.239,0.093,0.005,0,0
TCGA-AO-A129-01A,BRCA,simu_bulk_2ds_ref,0.041,0.032,0.027,0.633,0.007,0.031,0.109,0.117,0,0.003,0
TCGA-AO-A03O-01A,BRCA,simu_bulk_2ds_ref,0.002,0.042,0.019,0.696,0.021,0.028,0.084,0.109,0,0,0
TCGA-E2-A10A-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.664,0.005,0.05,0.179,0.101,0.001,0,0.001
TCGA-A8-A09E-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.819,0.002,0.041,0.091,0.046,0,0,0
TCGA-AC-A3YJ-01A,BRCA,simu_bulk_2ds_ref,0,0.002,0,0.726,0.005,0.035,0.054,0.175,0.003,0.001,0
TCGA-EW-A1IX-01A,BRCA,simu_bulk_2ds_ref,0,0.018,0,0.401,0.017,0.068,0.353,0.115,0.024,0,0.003
TCGA-A8-A09N-01A,BRCA,simu_bulk_2ds_ref,0,0.016,0.011,0.728,0.011,0.04,0.129,0.052,0.013,0,0
TCGA-AO-A0J6-01A,BRCA,simu_bulk_2ds_ref,0,0,0.047,0.788,0.001,0.008,0.027,0.129,0,0.001,0
TCGA-AN-A0FJ-01A,BRCA,simu_bulk_2ds_ref,0,0.007,0.006,0.747,0.006,0.059,0.13,0.046,0,0,0
TCGA-BH-A1ES-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.738,0.001,0.023,0.208,0.03,0,0,0.001
TCGA-BH-A0E1-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.696,0,0.075,0.178,0.044,0.006,0,0
TCGA-4H-AAAK-01A,BRCA,simu_bulk_2ds_ref,0,0.02,0,0.483,0.007,0.034,0.353,0.09,0.013,0,0
TCGA-EW-A6S9-01A,BRCA,simu_bulk_2ds_ref,0.001,0.001,0,0.649,0.008,0.034,0.224,0.073,0.007,0,0.002
TCGA-D8-A1JM-01A,BRCA,simu_bulk_2ds_ref,0,0.018,0.023,0.899,0,0.023,0.016,0.02,0,0.001,0
TCGA-A7-A4SF-01A,BRCA,simu_bulk_2ds_ref,0.002,0.023,0.005,0.775,0.014,0.026,0.072,0.071,0.01,0.001,0.001
TCGA-A8-A08R-01A,BRCA,simu_bulk_2ds_ref,0.038,0.014,0.022,0.536,0.011,0.041,0.142,0.189,0,0.005,0
TCGA-D8-A146-01A,BRCA,simu_bulk_2ds_ref,0.015,0.016,0.005,0.406,0.011,0.072,0.325,0.124,0.023,0.001,0.003
TCGA-D8-A1X5-01A,BRCA,simu_bulk_2ds_ref,0,0,0.003,0.581,0,0.03,0.196,0.188,0.001,0,0.001
TCGA-A2-A1FV-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.633,0.002,0.125,0.2,0.027,0.012,0,0.001
TCGA-A2-A0CK-01A,BRCA,simu_bulk_2ds_ref,0,0.025,0.013,0.536,0.011,0.106,0.222,0.083,0.001,0.003,0
TCGA-E2-A1IL-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.61,0.008,0.081,0.237,0.057,0.001,0.002,0.004
TCGA-B6-A0X7-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.576,0.008,0.117,0.247,0.044,0.008,0,0
TCGA-B6-A2IU-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.747,0.006,0.075,0.114,0.05,0.008,0,0
TCGA-B6-A0WS-01A,BRCA,simu_bulk_2ds_ref,0.012,0.076,0.024,0.482,0.027,0.052,0.205,0.121,0.001,0.001,0
TCGA-E2-A1IO-01A,BRCA,simu_bulk_2ds_ref,0.002,0.03,0.028,0.39,0.023,0.069,0.36,0.076,0.011,0.009,0
TCGA-AC-A5EH-01A,BRCA,simu_bulk_2ds_ref,0,0.004,0.001,0.592,0.009,0.025,0.213,0.153,0.002,0.001,0
TCGA-AC-A3BB-01A,BRCA,simu_bulk_2ds_ref,0.024,0.058,0.024,0.3,0.03,0.102,0.293,0.146,0.009,0.012,0
TCGA-AR-A0TQ-01A,BRCA,simu_bulk_2ds_ref,0.009,0.057,0.027,0.574,0.031,0.059,0.127,0.114,0.001,0.001,0
TCGA-D8-A1JK-01A,BRCA,simu_bulk_2ds_ref,0.004,0.01,0.022,0.55,0.001,0.041,0.146,0.224,0,0.002,0
TCGA-D8-A1X7-01A,BRCA,simu_bulk_2ds_ref,0.001,0,0,0.649,0,0.065,0.189,0.095,0,0,0
TCGA-AO-A1KQ-01A,BRCA,simu_bulk_2ds_ref,0.01,0.022,0.048,0.662,0.012,0.026,0.109,0.109,0.002,0,0
TCGA-PL-A8LX-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.693,0.007,0.091,0.087,0.12,0,0.002,0
TCGA-AR-A2LH-01A,BRCA,simu_bulk_2ds_ref,0.04,0.054,0.03,0.427,0.042,0.123,0.137,0.136,0.003,0.008,0
TCGA-BH-A0B8-01A,BRCA,simu_bulk_2ds_ref,0,0.001,0.003,0.71,0.009,0.045,0.15,0.069,0.013,0,0
TCGA-A2-A3KD-01A,BRCA,simu_bulk_2ds_ref,0,0.022,0,0.636,0.009,0.076,0.168,0.079,0.009,0,0
TCGA-A2-A0D4-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.787,0,0.087,0.091,0.029,0.005,0,0
TCGA-D8-A27R-01A,BRCA,simu_bulk_2ds_ref,0.001,0.018,0.02,0.635,0.016,0.045,0.132,0.13,0.002,0,0
TCGA-E2-A1IE-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.783,0.002,0.082,0.109,0.025,0,0,0
TCGA-EW-A1J3-01A,BRCA,simu_bulk_2ds_ref,0,0.006,0,0.698,0,0.038,0.154,0.098,0.005,0,0
TCGA-BH-A18Q-01A,BRCA,simu_bulk_2ds_ref,0,0,0.031,0.661,0.007,0.068,0.133,0.101,0,0,0
TCGA-B6-A1KI-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.571,0.001,0.171,0.236,0.017,0.003,0,0.001
TCGA-A7-A26G-01A,BRCA,simu_bulk_2ds_ref,0.033,0.033,0.019,0.391,0.007,0.069,0.28,0.164,0.004,0,0
TCGA-AO-A03M-01B,BRCA,simu_bulk_2ds_ref,0.018,0.035,0.043,0.593,0.027,0.045,0.095,0.136,0.006,0.001,0
TCGA-A2-A0CS-01A,BRCA,simu_bulk_2ds_ref,0,0.01,0,0.633,0.001,0.028,0.196,0.125,0.007,0,0
TCGA-C8-A12W-01A,BRCA,simu_bulk_2ds_ref,0.015,0,0.004,0.567,0.022,0.035,0.211,0.144,0.002,0,0
TCGA-E2-A1IU-01A,BRCA,simu_bulk_2ds_ref,0.029,0.017,0.006,0.676,0.006,0.078,0.102,0.076,0.01,0,0.001
TCGA-B6-A0I9-01A,BRCA,simu_bulk_2ds_ref,0.005,0.006,0.002,0.797,0.002,0.03,0.079,0.079,0,0,0
TCGA-AO-A128-01A,BRCA,simu_bulk_2ds_ref,0.028,0.043,0.174,0.301,0.037,0.024,0.044,0.344,0,0.005,0
TCGA-A7-A3J0-01A,BRCA,simu_bulk_2ds_ref,0.001,0.025,0.013,0.775,0.02,0.043,0.05,0.073,0.001,0,0
TCGA-E9-A1NE-01A,BRCA,simu_bulk_2ds_ref,0.043,0.062,0.115,0.319,0.028,0.071,0.189,0.165,0.007,0.002,0
TCGA-AC-A2FB-01A,BRCA,simu_bulk_2ds_ref,0.029,0.096,0.059,0.326,0.064,0.105,0.149,0.146,0.024,0.001,0.001
TCGA-AR-A5QP-01A,BRCA,simu_bulk_2ds_ref,0.003,0.012,0.004,0.578,0.013,0.069,0.252,0.066,0.003,0,0
TCGA-A2-A0T4-01A,BRCA,simu_bulk_2ds_ref,0,0.02,0.014,0.406,0.014,0.109,0.279,0.138,0.02,0,0
TCGA-BH-A0BL-01A,BRCA,simu_bulk_2ds_ref,0.015,0.033,0.02,0.352,0.013,0.072,0.305,0.185,0,0.005,0
TCGA-BH-A0HY-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.728,0.004,0.053,0.19,0.024,0,0,0
TCGA-E9-A2JT-01A,BRCA,simu_bulk_2ds_ref,0.355,0.133,0.083,0.11,0.024,0.098,0.089,0.089,0.001,0.017,0.001
TCGA-A7-A3IY-01A,BRCA,simu_bulk_2ds_ref,0,0.005,0,0.541,0.002,0.057,0.171,0.221,0.002,0.002,0
TCGA-A8-A085-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.757,0,0.055,0.154,0.033,0,0,0
TCGA-AO-A12B-01A,BRCA,simu_bulk_2ds_ref,0,0.013,0,0.811,0,0.046,0.086,0.044,0,0,0
TCGA-A8-A06Y-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.849,0.001,0.056,0.088,0.005,0,0,0.001
TCGA-A8-A09I-01A,BRCA,simu_bulk_2ds_ref,0,0.002,0.018,0.682,0.002,0.018,0.104,0.174,0,0,0
TCGA-A8-A0A2-01A,BRCA,simu_bulk_2ds_ref,0.011,0.005,0.014,0.57,0.007,0.06,0.203,0.12,0.01,0,0
TCGA-AC-A2FE-01A,BRCA,simu_bulk_2ds_ref,0,0.07,0.05,0.359,0.023,0.086,0.228,0.177,0.004,0.002,0.001
TCGA-A7-A13D-01B,BRCA,simu_bulk_2ds_ref,0.012,0.007,0,0.549,0.013,0.039,0.279,0.052,0.008,0.001,0.039
TCGA-A8-A08J-01A,BRCA,simu_bulk_2ds_ref,0,0,0.001,0.654,0.005,0.034,0.169,0.136,0.001,0,0
TCGA-5T-A9QA-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.916,0.002,0.019,0.012,0.052,0,0,0
TCGA-A1-A0SQ-01A,BRCA,simu_bulk_2ds_ref,0,0.004,0.001,0.71,0,0.079,0.099,0.104,0.003,0,0
TCGA-AC-A3QP-01A,BRCA,simu_bulk_2ds_ref,0.006,0.002,0.003,0.502,0.017,0.072,0.21,0.179,0.005,0.004,0
TCGA-D8-A1JB-01A,BRCA,simu_bulk_2ds_ref,0.065,0.058,0.074,0.394,0.019,0.088,0.16,0.134,0.008,0,0
TCGA-BH-A18S-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.765,0,0.049,0.083,0.099,0.004,0,0
TCGA-A2-A0CW-01A,BRCA,simu_bulk_2ds_ref,0,0.01,0.01,0.794,0.015,0.029,0.056,0.084,0,0,0.001
TCGA-A8-A09K-01A,BRCA,simu_bulk_2ds_ref,0.019,0.043,0.054,0.692,0.004,0.02,0.038,0.1,0.026,0,0.004
TCGA-E9-A22G-01A,BRCA,simu_bulk_2ds_ref,0,0.025,0.001,0.844,0.009,0.02,0.05,0.051,0,0,0
TCGA-E2-A573-01A,BRCA,simu_bulk_2ds_ref,0.034,0.035,0.032,0.6,0.019,0.037,0.072,0.163,0,0.007,0
TCGA-AR-A0TP-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.781,0,0.033,0.146,0.04,0,0,0
TCGA-AO-A1KT-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.562,0.004,0.041,0.253,0.138,0.001,0,0
TCGA-BH-A203-01A,BRCA,simu_bulk_2ds_ref,0.01,0.031,0.011,0.634,0.01,0.034,0.12,0.148,0,0,0
TCGA-B6-A0RM-01A,BRCA,simu_bulk_2ds_ref,0,0.005,0,0.79,0.005,0.025,0.109,0.055,0.01,0,0
TCGA-A1-A0SP-01A,BRCA,simu_bulk_2ds_ref,0.007,0.019,0.002,0.698,0.02,0.026,0.082,0.146,0,0,0
TCGA-A1-A0SB-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.741,0.002,0.029,0.228,0,0,0,0
TCGA-AC-A6IV-01A,BRCA,simu_bulk_2ds_ref,0,0.036,0.016,0.226,0.013,0.145,0.323,0.213,0.008,0.01,0.008
TCGA-OL-A5RY-01A,BRCA,simu_bulk_2ds_ref,0.092,0.057,0.019,0.364,0.017,0.078,0.208,0.152,0.003,0.009,0
TCGA-LL-A7SZ-01A,BRCA,simu_bulk_2ds_ref,0.089,0.071,0.019,0.523,0.021,0.023,0.082,0.169,0,0.004,0
TCGA-AO-A03R-01A,BRCA,simu_bulk_2ds_ref,0.012,0.054,0.025,0.625,0.011,0.079,0.1,0.096,0,0,0
TCGA-EW-A1PD-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.516,0.001,0.133,0.271,0.079,0,0,0
TCGA-BH-A1FG-01A,BRCA,simu_bulk_2ds_ref,0,0.002,0,0.775,0.001,0.041,0.082,0.089,0.011,0,0
TCGA-AO-A0JA-01A,BRCA,simu_bulk_2ds_ref,0,0.008,0.004,0.492,0.015,0.054,0.289,0.136,0.003,0,0
TCGA-A2-A04T-01A,BRCA,simu_bulk_2ds_ref,0.01,0.025,0.047,0.676,0.013,0.024,0.07,0.135,0,0,0
TCGA-BH-A0DH-01A,BRCA,simu_bulk_2ds_ref,0.01,0.002,0.007,0.674,0.019,0.052,0.112,0.114,0.011,0,0
TCGA-D8-A1XF-01A,BRCA,simu_bulk_2ds_ref,0.002,0,0.001,0.809,0.015,0.032,0.079,0.056,0.001,0,0.005
TCGA-A8-A06T-01A,BRCA,simu_bulk_2ds_ref,0.001,0.03,0.024,0.652,0.008,0.042,0.148,0.095,0,0,0.001
TCGA-LL-A50Y-01A,BRCA,simu_bulk_2ds_ref,0.016,0.014,0.001,0.684,0.013,0.039,0.072,0.148,0.006,0.007,0
TCGA-E9-A3QA-01A,BRCA,simu_bulk_2ds_ref,0.063,0.055,0.043,0.497,0.024,0.025,0.086,0.202,0,0.006,0
TCGA-EW-A2FW-01A,BRCA,simu_bulk_2ds_ref,0,0,0.002,0.728,0.002,0.063,0.136,0.067,0.003,0,0
TCGA-AR-A2LN-01A,BRCA,simu_bulk_2ds_ref,0.012,0.023,0.003,0.248,0.022,0.169,0.383,0.096,0.033,0.008,0.004
TCGA-E9-A22B-01A,BRCA,simu_bulk_2ds_ref,0,0,0.002,0.586,0.001,0.082,0.225,0.101,0.004,0,0
TCGA-A8-A07P-01A,BRCA,simu_bulk_2ds_ref,0,0.006,0,0.686,0.005,0.032,0.123,0.135,0.013,0,0
TCGA-A8-A06Z-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.85,0,0.039,0.036,0.074,0,0,0
TCGA-LL-A740-01A,BRCA,simu_bulk_2ds_ref,0,0.006,0,0.577,0.01,0.071,0.197,0.136,0.001,0.003,0
TCGA-A7-A0CE-01A,BRCA,simu_bulk_2ds_ref,0,0.001,0.004,0.797,0,0.049,0.102,0.047,0,0,0
TCGA-A8-A08L-01A,BRCA,simu_bulk_2ds_ref,0.002,0.032,0.027,0.642,0.03,0.046,0.102,0.112,0,0.007,0
TCGA-A8-A06Q-01A,BRCA,simu_bulk_2ds_ref,0,0.001,0,0.907,0.006,0.011,0.024,0.052,0,0,0
TCGA-B6-A0IK-01A,BRCA,simu_bulk_2ds_ref,0.001,0.018,0.004,0.787,0.01,0.041,0.082,0.056,0,0,0
TCGA-BH-A1EW-01A,BRCA,simu_bulk_2ds_ref,0,0.043,0.017,0.54,0.019,0.107,0.165,0.091,0.012,0,0.006
TCGA-A8-A090-01A,BRCA,simu_bulk_2ds_ref,0,0.003,0.007,0.566,0.007,0.046,0.154,0.21,0.002,0,0.004
TCGA-BH-A28Q-01A,BRCA,simu_bulk_2ds_ref,0,0.023,0.001,0.603,0.009,0.062,0.234,0.065,0.001,0,0.001
TCGA-A8-A07L-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.737,0.005,0.049,0.155,0.053,0.001,0,0
TCGA-BH-A0AZ-01A,BRCA,simu_bulk_2ds_ref,0,0.002,0.005,0.339,0.005,0.087,0.472,0.087,0.003,0,0
TCGA-A8-A076-01A,BRCA,simu_bulk_2ds_ref,0,0.008,0.001,0.6,0.004,0.035,0.19,0.161,0.001,0,0
TCGA-D8-A1JI-01A,BRCA,simu_bulk_2ds_ref,0,0.001,0,0.742,0.009,0.059,0.073,0.109,0.006,0,0
TCGA-GM-A2DC-01A,BRCA,simu_bulk_2ds_ref,0,0.001,0.003,0.735,0.007,0.08,0.107,0.058,0.007,0.001,0
TCGA-A8-A09T-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.691,0.002,0.02,0.16,0.126,0.001,0,0
TCGA-AC-A5XS-01A,BRCA,simu_bulk_2ds_ref,0.022,0.033,0.018,0.484,0.012,0.089,0.143,0.19,0.006,0.003,0
TCGA-A2-A0YJ-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.812,0,0.01,0.101,0.077,0,0,0
TCGA-A2-A0SW-01A,BRCA,simu_bulk_2ds_ref,0.063,0.018,0.066,0.495,0.014,0.04,0.134,0.17,0,0,0
TCGA-AR-A1AI-01A,BRCA,simu_bulk_2ds_ref,0.039,0.027,0.078,0.574,0.013,0.013,0.044,0.213,0,0,0
TCGA-BH-AB28-01A,BRCA,simu_bulk_2ds_ref,0.025,0.052,0.001,0.551,0.016,0.058,0.191,0.106,0,0,0.001
TCGA-E2-A1LA-01A,BRCA,simu_bulk_2ds_ref,0.025,0.023,0.053,0.47,0.019,0.021,0.166,0.218,0.005,0,0
TCGA-A8-A09V-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.635,0.007,0.049,0.236,0.05,0.016,0,0.006
TCGA-WT-AB44-01A,BRCA,simu_bulk_2ds_ref,0,0.007,0,0.578,0.001,0.047,0.282,0.084,0.001,0,0
TCGA-E9-A1R5-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.605,0.001,0.034,0.306,0.049,0.004,0,0
TCGA-A2-A25B-01A,BRCA,simu_bulk_2ds_ref,0,0.014,0.01,0.663,0.001,0.024,0.154,0.134,0,0,0
TCGA-AN-A03Y-01A,BRCA,simu_bulk_2ds_ref,0.002,0.035,0.015,0.717,0.009,0.032,0.106,0.082,0.002,0,0
TCGA-LQ-A4E4-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.755,0.001,0.064,0.126,0.051,0.003,0,0.001
TCGA-A7-A0DC-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.787,0.007,0.062,0.103,0.023,0.013,0,0.005
TCGA-OL-A97C-01A,BRCA,simu_bulk_2ds_ref,0,0.013,0.026,0.485,0.001,0.081,0.321,0.072,0,0.002,0
TCGA-BH-A0DX-01A,BRCA,simu_bulk_2ds_ref,0,0.009,0.001,0.412,0.002,0.086,0.259,0.224,0.006,0.001,0
TCGA-AC-A4ZE-01A,BRCA,simu_bulk_2ds_ref,0,0.012,0.01,0.629,0.008,0.148,0.122,0.06,0.011,0,0.001
TCGA-D8-A27I-01A,BRCA,simu_bulk_2ds_ref,0.008,0.032,0.01,0.315,0.021,0.132,0.327,0.127,0.021,0.004,0.003
TCGA-A8-A09X-01A,BRCA,simu_bulk_2ds_ref,0.017,0.044,0.029,0.507,0.012,0.069,0.108,0.207,0.004,0.003,0
TCGA-OL-A6VR-01A,BRCA,simu_bulk_2ds_ref,0,0.007,0,0.839,0.005,0.044,0.074,0.031,0,0,0
TCGA-A2-A0D3-01A,BRCA,simu_bulk_2ds_ref,0.024,0.037,0.016,0.72,0.001,0.034,0.101,0.067,0,0,0
TCGA-S3-AA14-01A,BRCA,simu_bulk_2ds_ref,0,0.01,0,0.556,0.008,0.061,0.298,0.057,0.01,0,0
TCGA-B6-A40C-01A,BRCA,simu_bulk_2ds_ref,0,0.021,0.001,0.522,0.012,0.077,0.248,0.117,0,0.002,0
TCGA-E9-A1RD-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.624,0.001,0.088,0.172,0.102,0.012,0,0
TCGA-PL-A8LV-01A,BRCA,simu_bulk_2ds_ref,0.055,0.04,0.007,0.673,0.006,0.048,0.112,0.058,0,0.001,0
TCGA-A7-A6VX-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.644,0.004,0.04,0.237,0.075,0,0,0
TCGA-C8-A8HR-01A,BRCA,simu_bulk_2ds_ref,0.002,0.016,0.021,0.314,0.025,0.14,0.341,0.13,0.002,0.008,0
TCGA-EW-A1PB-01A,BRCA,simu_bulk_2ds_ref,0,0.017,0.046,0.538,0.005,0.012,0.018,0.341,0,0.024,0
TCGA-BH-A0DL-01A,BRCA,simu_bulk_2ds_ref,0.013,0.038,0.013,0.558,0.006,0.026,0.036,0.299,0,0.009,0.001
TCGA-GM-A2DF-01A,BRCA,simu_bulk_2ds_ref,0.064,0.025,0.018,0.524,0.009,0.048,0.12,0.192,0,0,0
TCGA-C8-A131-01A,BRCA,simu_bulk_2ds_ref,0,0.003,0.002,0.696,0.007,0.037,0.162,0.094,0,0,0
TCGA-B6-A409-01A,BRCA,simu_bulk_2ds_ref,0,0.009,0,0.795,0.006,0.036,0.089,0.064,0,0.001,0
TCGA-A2-A0SY-01A,BRCA,simu_bulk_2ds_ref,0.037,0.044,0.008,0.438,0.006,0.075,0.243,0.131,0.019,0,0
TCGA-AO-A12A-01A,BRCA,simu_bulk_2ds_ref,0,0.019,0.017,0.531,0.013,0.083,0.235,0.098,0.004,0,0.001
TCGA-A2-A0CY-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.927,0.005,0.012,0.043,0.013,0,0,0
TCGA-AN-A0G0-01A,BRCA,simu_bulk_2ds_ref,0,0,0.002,0.814,0.003,0.024,0.071,0.087,0,0,0
TCGA-A2-A3XT-01A,BRCA,simu_bulk_2ds_ref,0,0.032,0.004,0.588,0.008,0.025,0.065,0.275,0,0.001,0
TCGA-AQ-A1H2-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.735,0.007,0.019,0.106,0.13,0.002,0,0
TCGA-E2-A1L8-01A,BRCA,simu_bulk_2ds_ref,0,0.015,0.007,0.501,0.002,0.078,0.288,0.105,0.003,0,0
TCGA-C8-A26V-01A,BRCA,simu_bulk_2ds_ref,0,0,0.009,0.772,0.002,0.022,0.108,0.086,0.001,0,0
TCGA-A8-A08B-01A,BRCA,simu_bulk_2ds_ref,0.009,0.024,0.014,0.8,0.018,0.009,0.065,0.059,0.002,0,0
TCGA-D8-A1XJ-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.757,0,0.031,0.139,0.072,0,0,0
TCGA-AO-A0JC-01A,BRCA,simu_bulk_2ds_ref,0.316,0.238,0.098,0.067,0.038,0.074,0.059,0.101,0.002,0.004,0.003
TCGA-AR-A0U0-01A,BRCA,simu_bulk_2ds_ref,0.019,0.003,0.08,0.612,0.006,0.03,0.048,0.202,0,0,0
TCGA-A7-A6VV-01A,BRCA,simu_bulk_2ds_ref,0,0.007,0,0.536,0.007,0.044,0.253,0.153,0,0,0
TCGA-B6-A3ZX-01A,BRCA,simu_bulk_2ds_ref,0.204,0.167,0.047,0.327,0.032,0.056,0.084,0.068,0,0.014,0
TCGA-AR-A24L-01A,BRCA,simu_bulk_2ds_ref,0,0,0.003,0.516,0.005,0.063,0.328,0.078,0.007,0,0.001
TCGA-EW-A1OW-01A,BRCA,simu_bulk_2ds_ref,0.001,0,0.006,0.589,0.001,0.05,0.262,0.091,0,0,0
TCGA-EW-A1P3-01A,BRCA,simu_bulk_2ds_ref,0,0.014,0.001,0.619,0.008,0.071,0.201,0.062,0.021,0,0.003
TCGA-LL-A7T0-01A,BRCA,simu_bulk_2ds_ref,0.002,0.023,0.013,0.736,0.024,0.028,0.1,0.074,0,0,0
TCGA-B6-A0I8-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.756,0.003,0.057,0.139,0.044,0,0,0
TCGA-BH-A0AV-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.472,0,0.045,0.368,0.115,0,0,0
TCGA-E2-A156-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.821,0,0.043,0.061,0.073,0.002,0,0
TCGA-BH-A5IZ-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.822,0,0.018,0.074,0.086,0,0,0
TCGA-BH-A1EN-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.778,0,0.05,0.1,0.072,0,0,0
TCGA-A1-A0SN-01A,BRCA,simu_bulk_2ds_ref,0,0.032,0.026,0.569,0.015,0.044,0.186,0.125,0.003,0,0
TCGA-E2-A150-01A,BRCA,simu_bulk_2ds_ref,0.001,0.024,0.005,0.633,0,0.05,0.138,0.149,0,0,0
TCGA-PL-A8LZ-01A,BRCA,simu_bulk_2ds_ref,0.01,0.043,0.04,0.374,0.031,0.142,0.179,0.176,0,0.005,0
TCGA-A2-A0CO-01A,BRCA,simu_bulk_2ds_ref,0.036,0.094,0.016,0.228,0.029,0.238,0.235,0.103,0.006,0.014,0.001
TCGA-HN-A2NL-01A,BRCA,simu_bulk_2ds_ref,0.034,0.035,0.03,0.748,0.023,0.024,0.039,0.067,0,0,0
TCGA-E2-A14X-01A,BRCA,simu_bulk_2ds_ref,0.097,0.052,0.02,0.568,0.012,0.067,0.106,0.074,0,0.005,0
TCGA-BH-A0B2-01A,BRCA,simu_bulk_2ds_ref,0.022,0.05,0.026,0.344,0.035,0.079,0.289,0.154,0.001,0.001,0
TCGA-A2-A4RX-01A,BRCA,simu_bulk_2ds_ref,0.037,0.027,0.009,0.429,0.009,0.084,0.331,0.066,0.001,0.005,0.002
TCGA-E2-A572-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.898,0.005,0.04,0.024,0.028,0.004,0,0
TCGA-C8-A12V-01A,BRCA,simu_bulk_2ds_ref,0.083,0.054,0.126,0.268,0.034,0.057,0.093,0.278,0,0.007,0
TCGA-BH-A0BQ-01A,BRCA,simu_bulk_2ds_ref,0,0.031,0.011,0.483,0.014,0.061,0.31,0.086,0.003,0,0
TCGA-C8-A12T-01A,BRCA,simu_bulk_2ds_ref,0,0.007,0.001,0.617,0.004,0.02,0.244,0.1,0.006,0,0
TCGA-EW-A1OX-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.897,0.001,0.044,0.055,0,0.004,0,0
TCGA-BH-A0BW-01A,BRCA,simu_bulk_2ds_ref,0.024,0.022,0.036,0.528,0.017,0.041,0.088,0.23,0,0.013,0.001
TCGA-A8-A084-01A,BRCA,simu_bulk_2ds_ref,0,0,0,0.775,0.002,0.019,0.152,0.041,0.001,0,0.01
TCGA-A2-A0SV-01A,BRCA,simu_bulk_2ds_ref,0,0.015,0,0.578,0.002,0.025,0.188,0.191,0.001,0,0
TCGA-C8-A275-01A,BRCA,simu_bulk_2ds_ref,0.026,0.031,0.034,0.582,0.015,0.035,0.069,0.207,0,0,0
TCGA-S3-A6ZH-01A,BRCA,simu_bulk_2ds_ref,0,0.008,0.004,0.79,0.007,0.045,0.069,0.072,0.005,0,0
TCGA-D8-A1JD-01A,BRCA,simu_bulk_2ds_ref,0,0.016,0.002,0.568,0.006,0.017,0.213,0.172,0.008,0,0
TCGA-A2-A0CV-01A,BRCA,simu_bulk_2ds_ref,0.007,0.017,0.018,0.475,0.013,0.093,0.271,0.103,0.003,0,0
