sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-BB-4223-01A,HNSC,simu_bulk_2ds_ref,0.062,0.064,0.058,0.631,0.012,0.035,0.053,0.083,0,0.002,0.001
TCGA-UF-A7JJ-01A,HNSC,simu_bulk_2ds_ref,0.019,0.039,0.029,0.447,0.006,0.032,0.214,0.204,0,0.01,0.001
TCGA-RS-A6TO-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0.009,0.752,0,0.015,0.105,0.107,0,0.006,0
TCGA-CR-7372-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0,0.681,0.006,0.063,0.153,0.078,0,0,0.001
TCGA-D6-6827-01A,HNSC,simu_bulk_2ds_ref,0,0.019,0,0.821,0.009,0.026,0.077,0.048,0,0,0
TCGA-CV-7437-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.913,0,0.011,0.019,0.055,0,0.001,0
TCGA-BA-5151-01A,HNSC,simu_bulk_2ds_ref,0,0.034,0.001,0.682,0.001,0.063,0.075,0.126,0,0,0.019
TCGA-CV-A461-01A,HNSC,simu_bulk_2ds_ref,0.005,0.014,0.065,0.656,0.009,0.028,0.041,0.161,0,0.02,0
TCGA-BA-5559-01A,HNSC,simu_bulk_2ds_ref,0.027,0.053,0.092,0.394,0.028,0.043,0.106,0.227,0.001,0.027,0.004
TCGA-CN-4723-01A,HNSC,simu_bulk_2ds_ref,0.004,0.019,0.008,0.72,0.008,0.038,0.095,0.092,0.001,0.01,0.005
TCGA-F7-A624-01A,HNSC,simu_bulk_2ds_ref,0.023,0,0.113,0.591,0,0.015,0.018,0.24,0,0,0
TCGA-CV-A463-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.012,0.909,0,0.029,0.017,0.032,0,0,0
TCGA-BB-4228-01A,HNSC,simu_bulk_2ds_ref,0.006,0.021,0.005,0.772,0.004,0.022,0.08,0.083,0,0.006,0
