,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-28-5218-01A,0.002,0.000,0.014,0.001,0.020,0.000,0.187,0.000,0.097,0.509,0.001,0.166,0.000,0.001,0.001,0.000
TCGA-32-1970-01A,0.000,0.000,0.000,0.000,0.004,0.000,0.819,0.014,0.063,0.001,0.010,0.086,0.000,0.000,0.002,0.000
TCGA-28-5204-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.778,0.000,0.083,0.002,0.005,0.125,0.001,0.000,0.001,0.000
TCGA-12-3653-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.772,0.000,0.056,0.000,0.000,0.169,0.000,0.000,0.001,0.000
TCGA-06-0187-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.753,0.000,0.063,0.005,0.002,0.173,0.000,0.000,0.003,0.000
TCGA-19-2624-01A,0.000,0.000,0.000,0.007,0.000,0.000,0.889,0.000,0.052,0.001,0.011,0.037,0.003,0.000,0.000,0.000
TCGA-12-3652-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.929,0.000,0.031,0.001,0.008,0.030,0.000,0.000,0.001,0.000
TCGA-12-5299-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.793,0.000,0.042,0.005,0.010,0.146,0.001,0.000,0.002,0.000
TCGA-06-0749-01A,0.000,0.000,0.000,0.000,0.004,0.002,0.643,0.000,0.047,0.000,0.024,0.271,0.005,0.000,0.003,0.000
TCGA-06-0158-01A,0.000,0.000,0.000,0.000,0.005,0.000,0.698,0.013,0.072,0.001,0.026,0.184,0.000,0.000,0.003,0.000
TCGA-19-1390-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.898,0.000,0.028,0.001,0.009,0.061,0.000,0.000,0.001,0.000
TCGA-28-2510-01A,0.000,0.000,0.001,0.000,0.013,0.005,0.731,0.003,0.061,0.001,0.074,0.105,0.002,0.000,0.004,0.000
TCGA-32-2615-01A,0.000,0.000,0.001,0.001,0.006,0.004,0.707,0.001,0.043,0.037,0.025,0.172,0.000,0.000,0.003,0.000
TCGA-76-4929-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.786,0.000,0.036,0.021,0.022,0.132,0.000,0.000,0.000,0.000
TCGA-06-0178-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.808,0.000,0.025,0.000,0.009,0.151,0.000,0.005,0.002,0.001
TCGA-41-5651-01A,0.000,0.002,0.000,0.001,0.001,0.002,0.891,0.006,0.045,0.001,0.015,0.033,0.001,0.000,0.001,0.000
TCGA-14-2554-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.748,0.000,0.055,0.002,0.015,0.178,0.000,0.000,0.001,0.000
TCGA-06-2559-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.794,0.001,0.058,0.002,0.024,0.118,0.002,0.000,0.001,0.000
TCGA-14-0787-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.771,0.001,0.038,0.002,0.009,0.173,0.001,0.000,0.002,0.000
TCGA-12-0618-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.874,0.011,0.031,0.000,0.020,0.060,0.000,0.000,0.001,0.000
TCGA-14-1034-01A,0.000,0.000,0.004,0.000,0.000,0.002,0.705,0.000,0.063,0.021,0.000,0.202,0.000,0.000,0.002,0.000
TCGA-06-0743-01A,0.000,0.000,0.000,0.000,0.004,0.000,0.799,0.006,0.048,0.001,0.015,0.124,0.000,0.000,0.001,0.000
TCGA-16-1045-01B,0.000,0.000,0.004,0.000,0.001,0.001,0.490,0.000,0.074,0.048,0.017,0.362,0.000,0.000,0.002,0.000
TCGA-76-4927-01A,0.000,0.000,0.000,0.000,0.000,0.002,0.636,0.000,0.095,0.038,0.044,0.181,0.000,0.000,0.002,0.000
TCGA-32-2638-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.618,0.000,0.074,0.017,0.037,0.252,0.000,0.000,0.000,0.000
TCGA-14-1825-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.865,0.001,0.047,0.001,0.017,0.069,0.000,0.000,0.001,0.000
TCGA-32-2632-01A,0.000,0.000,0.007,0.000,0.018,0.000,0.568,0.000,0.071,0.075,0.004,0.254,0.000,0.000,0.002,0.000
TCGA-14-1823-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.697,0.000,0.029,0.013,0.003,0.256,0.000,0.000,0.001,0.000
TCGA-12-3650-01A,0.000,0.000,0.000,0.001,0.002,0.001,0.817,0.000,0.049,0.001,0.014,0.112,0.001,0.000,0.001,0.000
TCGA-06-0211-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.700,0.008,0.064,0.024,0.010,0.189,0.000,0.000,0.002,0.000
TCGA-06-0238-01A,0.000,0.000,0.000,0.000,0.002,0.001,0.728,0.000,0.033,0.000,0.018,0.208,0.004,0.002,0.002,0.000
TCGA-06-0184-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.590,0.000,0.058,0.002,0.009,0.335,0.000,0.002,0.003,0.000
TCGA-76-4925-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.885,0.000,0.040,0.001,0.011,0.062,0.000,0.000,0.001,0.000
TCGA-12-0616-01A,0.000,0.000,0.000,0.006,0.000,0.000,0.845,0.008,0.031,0.001,0.006,0.101,0.000,0.000,0.001,0.000
TCGA-26-5132-01A,0.000,0.000,0.001,0.004,0.001,0.000,0.763,0.000,0.049,0.008,0.025,0.147,0.000,0.000,0.000,0.000
TCGA-02-0055-01A,0.000,0.000,0.006,0.001,0.004,0.000,0.359,0.000,0.021,0.352,0.019,0.231,0.000,0.000,0.005,0.000
TCGA-06-0132-01A,0.000,0.000,0.001,0.000,0.011,0.006,0.439,0.000,0.069,0.007,0.041,0.418,0.002,0.003,0.003,0.001
TCGA-02-2486-01A,0.000,0.000,0.003,0.000,0.007,0.000,0.559,0.000,0.011,0.010,0.002,0.405,0.000,0.000,0.003,0.000
TCGA-19-1787-01B,0.000,0.000,0.000,0.001,0.003,0.000,0.722,0.000,0.042,0.008,0.010,0.212,0.000,0.000,0.000,0.000
TCGA-06-0211-01B,0.000,0.000,0.000,0.000,0.001,0.000,0.818,0.007,0.072,0.001,0.009,0.090,0.000,0.000,0.002,0.000
TCGA-06-5859-01A,0.000,0.000,0.002,0.000,0.013,0.001,0.736,0.001,0.034,0.001,0.003,0.208,0.000,0.000,0.001,0.000
TCGA-06-0139-01A,0.000,0.000,0.002,0.001,0.001,0.001,0.142,0.000,0.045,0.123,0.017,0.650,0.000,0.008,0.010,0.000
TCGA-06-0157-01A,0.000,0.000,0.000,0.000,0.010,0.006,0.736,0.008,0.080,0.002,0.019,0.137,0.000,0.000,0.001,0.000
TCGA-12-1597-01B,0.000,0.000,0.000,0.000,0.001,0.000,0.829,0.000,0.038,0.000,0.019,0.111,0.001,0.000,0.002,0.000
TCGA-76-4931-01A,0.000,0.000,0.000,0.001,0.003,0.000,0.855,0.004,0.050,0.001,0.009,0.074,0.001,0.000,0.001,0.000
TCGA-06-5417-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.001,0.052,0.000,0.016,0.045,0.000,0.000,0.000,0.000
TCGA-32-5222-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.735,0.000,0.056,0.005,0.010,0.189,0.000,0.000,0.004,0.000
TCGA-76-4932-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.001,0.048,0.002,0.004,0.110,0.000,0.000,0.000,0.000
TCGA-28-5208-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.723,0.001,0.081,0.008,0.014,0.170,0.000,0.000,0.002,0.000
TCGA-02-0047-01A,0.000,0.000,0.001,0.000,0.001,0.004,0.658,0.015,0.063,0.000,0.048,0.209,0.000,0.000,0.001,0.000
TCGA-28-5207-01A,0.000,0.000,0.001,0.000,0.005,0.004,0.686,0.012,0.129,0.006,0.035,0.120,0.001,0.000,0.001,0.000
TCGA-28-5220-01A,0.000,0.000,0.001,0.000,0.005,0.000,0.741,0.000,0.033,0.042,0.007,0.168,0.000,0.000,0.002,0.000
TCGA-06-0744-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.831,0.000,0.065,0.000,0.014,0.089,0.000,0.000,0.001,0.000
TCGA-27-2524-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.768,0.000,0.039,0.014,0.011,0.163,0.001,0.000,0.001,0.000
TCGA-06-0745-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.738,0.000,0.053,0.002,0.021,0.176,0.002,0.002,0.003,0.000
TCGA-16-0846-01A,0.000,0.000,0.001,0.001,0.008,0.000,0.665,0.000,0.070,0.000,0.024,0.226,0.000,0.003,0.002,0.000
TCGA-06-0882-01A,0.000,0.000,0.000,0.000,0.002,0.001,0.637,0.000,0.068,0.003,0.030,0.253,0.000,0.000,0.005,0.000
TCGA-06-5411-01A,0.000,0.000,0.001,0.000,0.012,0.003,0.720,0.000,0.060,0.000,0.044,0.147,0.009,0.001,0.004,0.000
TCGA-27-1835-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.895,0.000,0.067,0.002,0.011,0.024,0.000,0.000,0.000,0.000
TCGA-28-2513-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.546,0.000,0.078,0.054,0.016,0.298,0.000,0.001,0.001,0.000
TCGA-14-0781-01B,0.000,0.000,0.001,0.000,0.000,0.000,0.590,0.000,0.094,0.065,0.028,0.220,0.000,0.000,0.002,0.000
TCGA-14-0789-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.543,0.000,0.041,0.075,0.008,0.321,0.000,0.000,0.001,0.000
TCGA-06-0141-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.510,0.000,0.037,0.057,0.006,0.378,0.000,0.003,0.007,0.000
TCGA-06-2565-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.767,0.016,0.101,0.002,0.006,0.105,0.000,0.000,0.000,0.000
TCGA-28-5213-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.520,0.000,0.056,0.065,0.026,0.322,0.000,0.000,0.007,0.000
TCGA-06-2557-01A,0.009,0.000,0.000,0.002,0.021,0.001,0.537,0.017,0.041,0.009,0.013,0.345,0.001,0.000,0.002,0.000
TCGA-26-5133-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.866,0.000,0.052,0.000,0.025,0.053,0.000,0.002,0.000,0.000
TCGA-06-0210-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.689,0.000,0.014,0.044,0.007,0.233,0.000,0.003,0.007,0.000
TCGA-08-0386-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.828,0.000,0.072,0.003,0.033,0.059,0.001,0.000,0.002,0.000
TCGA-06-2569-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.663,0.000,0.076,0.247,0.001,0.007,0.000,0.000,0.000,0.000
TCGA-26-5139-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.783,0.001,0.055,0.018,0.009,0.128,0.001,0.000,0.001,0.000
