"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.EL.A3H2.01A",0.13860540236116,0,0,0,0,0.00734506271501902,0,0,0,0,0,0.619235483206643,0.234814051717178
"TCGA.DJ.A4V4.01A",0.207438620660949,0,0.000802887792001714,0,0,0.0864154110665304,0,0,0,0,0,0.486630438686021,0.218712641794498
"TCGA.EM.A4FO.01A",0.100248258843813,0,0.0129242811453344,0,0,0.0710494278815864,0,0,0.00184596936101832,0,0,0.632004575490371,0.181927487277877
"TCGA.DO.A2HM.01B",0.0245900441098693,0,0.00407455423879717,0,0,0.104246422015855,0,0,0.000275524264730009,0,0,0.767513009423088,0.0993004459476608
"TCGA.DJ.A3V5.01A",0.126664564557331,0,0.000854922568314717,0,0,0.104074648887825,0,0,0,0,0,0.582032279086786,0.186373584899744
"TCGA.ET.A40P.01A",0.192171555101002,0,0.00046829072350376,0,0,0.0862387072283381,0,0,0.000388666159874322,0,0.000150937558985906,0.500437300713187,0.220144542515109
"TCGA.EL.A3GS.01A",0.160739438625508,0,0,0,0,0.0740103900191009,0,0,0,0,0,0.561326363602182,0.203923807753209
"TCGA.EL.A3H7.01A",0.0661727124880348,0,0,0,0,0.177213649061354,0,0,0,0,0,0.556348638415682,0.200265000034929
"TCGA.DJ.A3UT.01A",0.247463874154717,0,0.000145819902644869,0,0,0.0424274997308457,0,0,0,0,0,0.46153522087356,0.248427585338233
"TCGA.FE.A3PD.01A",0.174650216626523,0,0.00124176834089879,0,0,0.0993713268541977,0,0,0.000175703672786193,0,0,0.567488403791648,0.157072580713947
"TCGA.E8.A436.01A",0.0875635396054134,0,0.00141855183708512,0,0,0.142903670885559,0,0,0,0,0,0.656014787148937,0.112099450523005
"TCGA.DE.A3KN.01A",0.104756045168912,0,0.000800491673230624,0,0,0.0609149237901011,0,0,0,0,0,0.609538741183149,0.223989798184608
"TCGA.MK.A4N7.01A",0.109400773807526,0,0,0,0,0.133673594746083,0,0,0,0,0,0.617125855715924,0.139799775730467
"TCGA.EL.A3H4.01A",0.0925856541019257,0,0.000585283179136831,0,0,0.0495051432784287,0,0,0,0,0,0.620545973293869,0.23677794614664
"TCGA.DJ.A3VL.01A",0.152365095796619,0,0.0429417440305064,0.00707117693225988,0.000121843488056028,0.0670483721865562,0,0.012642639048157,0.00186806006027522,0.00397554226290545,2.14642237500278e-05,0.528740553481739,0.183203508489176
"TCGA.DJ.A2Q9.01A",0.00494346895525359,0,0.000132826155072999,0,0,0.228616850352504,0,0,0,0,0,0.645441455479767,0.120865399057402
"TCGA.J8.A3YF.01A",0.117782817757768,0,0.00123488846832244,0,0,0.125247027710868,0,0.00883232080012277,0,0,0,0.562309770113503,0.184593175149416
"TCGA.BJ.A45D.01A",0.188568088133312,0,7.8081986385056e-05,0.0297589068840503,0,0.0857846273018538,0,0,0,0,0.00137828243900819,0.504952181539341,0.18947983171605
"TCGA.EM.A4FF.01A",0.165505822394355,0,0.00189474101662044,0,0,0.0457059298702702,0,0,0,0,0,0.566633991061261,0.220259515657493
"TCGA.EL.A4JX.01A",0.0643574187394116,0,0.00408806033751525,0,0,0.082989698423157,0,0.00682274127140466,0,0,0,0.701040973398801,0.140701107829711
"TCGA.DJ.A3UZ.01A",0.18466778235964,0,0.0132379244086281,0,0,0.03573486054252,0,0,0.00165106065550016,0,0,0.561766759461599,0.202941612572113
"TCGA.EL.A4KD.01A",0.11798404864394,0,0.000333130826556373,0,0,0.0564428867679357,0,0,0,0,0,0.558055969009659,0.267183964751909
"TCGA.DE.A2OL.01A",0.152795488221933,0,0,0,0,0.0308324615185301,0,0,0,0,0,0.532643475471747,0.28372857478779
"TCGA.EL.A3CX.01A",0.272619108290157,0,3.46215823135003e-05,0,0,0.107699244410189,0,0,0,0,0,0.502479000154733,0.117168025562608
"TCGA.EL.A4K1.01A",0.183980438325809,0,0.00455488758513956,0,0,0.117901912803829,0,0,0,0,0,0.472398916210823,0.2211638450744
"TCGA.DJ.A4UR.01A",0.189133867901606,0,0,0,0,0.0507475988543439,0,0,0,0,0,0.519641893084211,0.240476640159839
"TCGA.DJ.A2QB.01A",0.187829138868769,0,0,0,0,0.0209200444230635,0,0,0,0,0,0.540516391652846,0.250734425055321
"TCGA.EL.A4JV.01A",0.137548645420078,0,0.000251067794340489,0,0,0.0404648227561672,0,0,0,0,0,0.586706007937962,0.235029456091452
"TCGA.ET.A3DV.01A",0.267514469331929,0,0,0,0,0.0490777336767449,0,0,0,0,0,0.481334165010865,0.202073631980461
"TCGA.E8.A434.01A",0.153553475150858,0,0.00036893154221517,0,0,0.176311594860141,0,0,0,0,0,0.53344266416284,0.136323334283945
"TCGA.EM.A2P2.01A",0.127460501575051,0,0,0,0,0.086335324557075,0,0,0,0,0,0.554587116812897,0.231617057054977
"TCGA.EM.A1CV.01A",0.07897815909387,0,0.000604410898864451,0,0,0.041892438950126,0,0,0,0,0,0.694894275493067,0.183630715564072
"TCGA.J8.A3O2.01A",0.141608124166299,0,0.00130718939187675,0,0,0.148693195402189,0,0,0,0,0,0.604609884196184,0.103781606843451
"TCGA.ET.A2N5.01A",0.21351655556125,0,4.20636659858651e-05,0,0,0.010720820246793,0,0,0,0,0,0.550019042728385,0.225701517797586
"TCGA.ET.A25M.01A",0.0859142729472968,0,0.000597041003381453,0,0,0.14164006560616,0,0,0,0,0,0.585435143244501,0.18641347719866
