"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.DD.AADK.01A",0,0,0,0,0.0383979312016232,0.0229873930990537,0,0.938614675699323,0
"TCGA.G3.A5SI.01A",0,0,0,0,0.0160156789523955,0.00370732980806275,0,0.980276991239542,0
"TCGA.DD.A4NI.01A",0,0,0,0,0.0361810413124323,0.00759327241495773,1.46232530773701e-08,0.956225671649357,0
"TCGA.DD.A73A.01A",0,0,0,0,0.0259595946261556,0.00225034181994957,0,0.967015515763904,0.00477454778999086
"TCGA.MR.A8JO.01A",0,0,0.00689179630388861,0,0.390834074281798,0.115518791501446,7.05986350256682e-07,0.460692353642042,0.0260622782844752
"TCGA.5R.AA1C.01A",0,0,0,0,0.0452468270933679,0.000846105695977352,0.00025176762746206,0.9505107405275,0.00314455905569269
"TCGA.ZS.A9CG.01A",0,0,0,0,0.0358978681669921,0.00636399605188573,0,0.957738135781122,0
"TCGA.DD.A4NH.01A",0,0,0,0,0.211048264196431,0.0287706496725977,0,0.710997641423339,0.0491834447076322
"TCGA.FV.A4ZP.01A",0,0,0.0343558133925815,0.000185512046489065,0.0623809038594883,0.0198810344593878,0,0.851792755589146,0.031403980652907
"TCGA.DD.AACJ.01A",0,0,0,0,0.00876376626551943,0.0011103927258233,0,0.990125841008657,0
"TCGA.DD.AAVZ.01A",0,0,0,0,0.0520429083569183,0.00248108390770271,0,0.934080043708004,0.0113959640273751
"TCGA.DD.AAVR.01A",0,0,0.00240054339636113,0,0.079596089366683,0.0188612357966421,0,0.899142131440314,0
"TCGA.RC.A7SB.01A",0,0,0,0,0.0280705663469027,0.00686449975030407,5.22987191225835e-06,0.949150278790688,0.0159094252401927
"TCGA.3K.AAZ8.01A",0,0,0,0,0.0400317399129578,0,0,0.959968260087042,0
"TCGA.DD.AADA.01A",0,0,0.000245976205734072,0,0.056027734984757,0.0177578196991553,8.0562320390409e-06,0.915042382549613,0.0109180303287018
"TCGA.G3.A25X.01A",0,0,0.0378361420584585,0,0.0853624884849927,0.0546435951608223,0,0.761840780435156,0.0603169938605704
"TCGA.EP.A3RK.01A",0,0,0.0167127810320981,0.00306003534860769,0.054312039878822,0.00909006466430046,0,0.916825079076172,0
"TCGA.2Y.A9H5.01A",0,0,0,0,0.148841383309611,0.0147156390133744,0,0.733402964768925,0.10304001290809
"TCGA.UB.A7MF.01A",0,0,0.056600820011586,0,0.192624543108568,0,0,0.750774636879846,0
"TCGA.BC.A10R.01A",0,0,0.00013420100067335,0,0.104342386474975,0.040480504643422,5.20380097785255e-06,0.81955936014422,0.0354783439357316
"TCGA.ED.A459.01A",0,0,0,0,0.0823540885647377,0.00366456532849183,0,0.911126727207057,0.00285461889971309
"TCGA.KR.A7K7.01A",0,0,0.00547446137331215,0.00127765271203067,0.014616382532696,0.000736603332290726,0,0.97789490004967,0
"TCGA.XR.A8TC.01A",0,0,0,0,0.0982683680524,0.011568536756231,0,0.8084955493062,0.0816675458851693
"TCGA.G3.A3CG.01A",0,0,0,0,0.0313669885421223,0.00387711474365272,0,0.964755896714225,0
"TCGA.BC.A112.01A",0,0,0.00928178624699434,0,0.26294107940205,0.0617207060525005,3.29105484155096e-05,0.356688795161697,0.309334722588343
"TCGA.ED.A4XI.01A",0,0,0,0,0.085826520437469,0.0101494809806018,0,0.900870257864196,0.00315374071773283
"TCGA.2Y.A9GT.01A",0,0,0,0,0.0395944269438015,0.0075417983879378,2.71515180016895e-07,0.952863503153081,0
"TCGA.DD.AACX.01A",0,0,0.000469987049588846,0,0.0617066990739647,0.00134826301017447,0,0.916934998459128,0.0195400524071439
"TCGA.DD.A1EB.01A",0,0,0,0,0.037056783906409,0.00243787057415472,0,0.960505345519436,0
"TCGA.DD.AACE.01A",0,0,0,0,0.06159579743999,0.0110794848557466,5.44354413836702e-07,0.923606957409374,0.00371721594047569
"TCGA.2Y.A9H9.01A",0,0,0,0,0.029450364553576,0.00681758116339298,0,0.963732054283031,0
"TCGA.CC.5262.01A",0,0,0.00191195029207573,0,0.0744539537740645,0.0265367736493285,0,0.897097322284531,0
"TCGA.G3.AAV2.01A",0,0,0,0,0.0240026449351987,0.00512392033587921,0,0.970873434728922,0
"TCGA.DD.A4NN.01A",0,0,0,0,0.147303535762946,0.0231333358807535,0,0.720740352091874,0.108822776264427
"TCGA.DD.AACZ.01A",0,0,0.148503339762322,0,0.135478730829814,0.00669326123834065,0.000383845163169556,0.657722194200262,0.0512186288060907
"TCGA.DD.AAE0.01A",0,0,0.00893553591781536,0.000922350823238997,0.148069904419902,0.0681699000943178,0,0.385511814646051,0.388390494098675
