"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.CH.5794.01A",0.207437909685883,0,0,0,0,0.0908651451294253,0,0.0106343570406507,0,0.00027759716465187,0.000450345500523824,0.50553394861514,0.184800696863725
"TCGA.HC.7233.01A",0.0826625478374032,0,0,0,0,0.142837442307574,0,0.0274248629854915,0,0,0,0.591065414733315,0.156009732136216
"TCGA.EJ.7115.01A",0.19337102965601,0,0.000174601920853478,0,0,0.0917091331780396,0,0,0,0,0.000434769909926755,0.474646731802204,0.239663733532967
"TCGA.EJ.A8FP.01A",0.189908033012239,0,0.000426297723310937,0,0,0.05594420919977,0,0,0,0,0,0.513740338687661,0.239981121377019
"TCGA.EJ.5505.01A",0.220865716272467,0,0,0,0,0.0515468021663772,0,0,0,0,0,0.51832540882928,0.209262072731876
"TCGA.CH.5738.01A",0.0791228102604115,0,0.000364962913145682,0,0,0.0873396723223128,0,0,0,0,0.000125204474437615,0.672164776432517,0.160882573597176
"TCGA.QU.A6IO.01A",0.275608155453775,0.115121500208518,0,0.000154363644951293,0,0.138649605658916,0,0.353610160052041,0,0.0302625954882184,0.00849541179853936,0.00175824631901093,0.0763399613760293
"TCGA.HC.7818.01A",0.213793572228438,0,0,0,0,0.0525844991756935,0,0.0230792813984876,0,0,0.000410716556980592,0.475217959647984,0.234913970992416
"TCGA.CH.5771.01A",0.0983518223860412,0,0.000569926441645633,0,0,0.11355993621817,0,0,0,0,0.000140415189558373,0.601603853711622,0.185774046052963
"TCGA.HC.A6AS.01A",0.182148843905198,0,0.000620028227981198,0.00940404018449604,0.00470707876266605,0.310968569253096,0,0.203978442181072,0.0102659933850847,0.0347596056797499,0.0105458144112107,0.126872004138099,0.105729579871346
"TCGA.XK.AAJ3.01A",0.281110661085736,0,0,0,0,0.196210072231082,0,0.0750337176591778,0,0,0,0.303985192328085,0.143660356695919
"TCGA.EJ.5512.01A",0.206543231450354,0,0,0,0,0.10094075693617,0,0.0154277008253535,0,0,0,0.470847369653013,0.20624094113511
"TCGA.H9.A6BY.01A",0.225582249013881,0.301781283749583,0,0,0,0.149335048007195,0,0.294623315245614,0,0,0.00203616590659898,0,0.0266419380771277
"TCGA.HC.8264.01B",0.176134612069447,0,0,0,0,0.0746595966382042,0,0,0,0,0,0.455924911309943,0.293280879982405
"TCGA.G9.6369.01A",0.371733675654941,0,0,0,0,0.0832365674123444,0,0.0357291045427041,0,0,9.18065272966226e-05,0.301776526223875,0.207432319638838
"TCGA.EJ.A7NM.01A",0.221827135114889,0,0.0184310753561802,0,0,0.187816431106215,0,0.0345128664694065,0,0.000290704609539079,0.000361508511760578,0.395302371820339,0.141457907011671
"TCGA.KK.A59Y.01A",0.289325157806674,0,0,0,0,0.0690695495149694,0,0,0,0,0,0.443319750350959,0.198285542327397
"TCGA.KK.A8IK.01A",0.350297777636841,0.143954514798443,0,0,0,0.0461661371007596,0,0.253075504224484,0,0,0.00920623053844826,0.0808251638753296,0.116474671825694
"TCGA.KK.A7B0.01A",0.261187027908363,0.0697394467316108,0,0.000373250991956366,0,0.213476933984255,0,0.193214948023555,0.035203971528067,0.0831987007086451,0.0239816817296097,0,0.119624038393939
"TCGA.G9.A9S0.01A",0.254627177487352,0,0.000762119157936886,0,0,0.0797833026213145,0,0.00722561658714065,0.00087242744039337,0,7.73077353055035e-05,0.468245782389744,0.188406266580812
"TCGA.CH.5769.01A",0.230869744620806,0.000981934122872015,7.62037680180665e-05,0,0,0.0885081682597957,0,0.0216270341206488,0.00042861239006568,0.000593818152292331,0.000437807119085918,0.446443207537534,0.210033469908882
"TCGA.YL.A8SK.01B",0.173846322760471,0,0.0215239540942919,0,0,0.0561614808367732,0,0,0.000402183457114144,0,0.000465116968187606,0.534563766362913,0.213037175520249
"TCGA.EJ.7786.01A",0.225179409119496,0,9.34159538159492e-05,0,0,0.0467297957922773,0,0.000127620994178252,2.99086611575092e-05,0,0.000691032392142757,0.483646576388334,0.243502240698599
"TCGA.VP.A875.01A",0.315264357528755,0,0.0161468564968221,0,0,0.0668373034510941,0,0.130475818051051,0,0,0,0.30996711551032,0.161308548961957
"TCGA.EJ.A46D.01A",0.194794632215577,0,0,0,0,0.111713736838461,0,0.00866086331761128,0,0,0,0.505895043838378,0.178935723789973
"TCGA.J4.A67L.01A",0.262753868857437,0,0.00114716914380282,0,0,0.218163179690933,0,0.0940283740147798,0,0.0151698244913872,0.000262277792068765,0.279757014570321,0.12871829143927
"TCGA.G9.6363.01A",0.20133754067343,0,0,0,0,0.203314633514712,0,0.180097090854345,0,0,0,0.271221335389912,0.144029399567602
"TCGA.HC.A9TE.01A",0.162121672043569,0,7.97329798119127e-05,0,0,0.0618864117332195,0,0,0,0,0,0.565116056683285,0.210796126560114
"TCGA.J4.A6G3.01A",0.0818818777941423,0,0.000993735969109939,0,8.41654348996626e-05,0.0800659471200047,0,0,0.00133279855095153,0,2.3001061103898e-05,0.661276789208518,0.17434168486127
"TCGA.KK.A7B3.01A",0.219438577375519,0,0.00165211043263812,0,0,0.0929319400553895,0,0.0112797661870878,0.000136255754333734,0,0.000625860760712472,0.472442247613042,0.201493241821277
"TCGA.YL.A8HJ.01A",0.127246667197309,0.000602604168301516,0.000436402802466683,0,0,0.135956225864611,0,0.000391115998389021,0,0,0.000758229634421163,0.497678719535873,0.236930034798629
