,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-FB-A7DR-01A,0.000,0.000,0.004,0.000,0.004,0.000,0.371,0.015,0.083,0.325,0.094,0.094,0.008,0.002,0.000,0.000
TCGA-3A-A9IN-01A,0.015,0.000,0.003,0.000,0.008,0.000,0.343,0.016,0.228,0.183,0.158,0.032,0.009,0.003,0.000,0.000
TCGA-IB-AAUN-01A,0.009,0.001,0.007,0.002,0.000,0.000,0.621,0.025,0.063,0.207,0.004,0.054,0.006,0.000,0.000,0.000
TCGA-Q3-AA2A-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.660,0.012,0.053,0.128,0.026,0.112,0.004,0.000,0.000,0.000
TCGA-IB-A5SO-01A,0.010,0.031,0.011,0.000,0.012,0.000,0.310,0.025,0.089,0.388,0.008,0.110,0.007,0.000,0.000,0.000
TCGA-M8-A5N4-01A,0.000,0.000,0.003,0.003,0.000,0.000,0.546,0.002,0.055,0.207,0.001,0.172,0.002,0.000,0.008,0.000
TCGA-2L-AAQI-01A,0.007,0.000,0.004,0.000,0.002,0.000,0.691,0.011,0.050,0.157,0.000,0.074,0.004,0.000,0.000,0.000
TCGA-HV-A7OP-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.974,0.000,0.004,0.000,0.000,0.017,0.001,0.000,0.000,0.000
TCGA-HZ-A8P1-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.795,0.015,0.033,0.124,0.000,0.027,0.005,0.000,0.000,0.000
TCGA-IB-AAUV-01A,0.007,0.021,0.009,0.000,0.022,0.001,0.027,0.030,0.087,0.616,0.031,0.135,0.006,0.001,0.005,0.000
TCGA-HZ-7925-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.259,0.013,0.054,0.567,0.000,0.090,0.006,0.000,0.001,0.000
