"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.CM.6678.01A",7.69500086038497e-09,0.040077400632555,0.0333774944005171,0.00624521405032322,1.65147507936604e-07,0.00595631300926621,0.91434340506483
"TCGA.CM.4746.01A",3.05516967615716e-08,0.0228780545085198,0.00798504002994078,0.00620291106517422,9.14726049061785e-06,0.0125980248890654,0.950326791695112
"TCGA.A6.6652.01A",9.33637674344891e-06,0.0274956669944797,0.0182410620868961,0.00351941554394124,1.43231392868938e-09,0.00764013340533929,0.943094384160286
"TCGA.A6.6781.01A.1",3.05963104656454e-08,0.000244772384613503,0.416720150068368,0.0382327944462332,1.024561713589e-07,1.35069329660111e-06,0.544800799355007
"TCGA.AA.A01Q.01A",3.42033854086863e-09,0.00944962782165682,0.00196123964235789,0.012209224838318,0.00415048645571398,0.00933925411556913,0.962890163706046
"TCGA.A6.5661.01A",0.00750756444967486,0.00219577055274716,0.0502782412297574,0.0112974366575722,2.32351653131169e-08,0.00985976220021187,0.918861201674871
"TCGA.5M.AATE.01A",0.00391172257501424,0.021290664108548,0.027923246344606,0.00621673757765941,9.17305467949731e-09,0.00656673650847433,0.934090883712643
"TCGA.DM.A1D0.01A",1.07584820879152e-07,0.00874163569224902,0.0080480071311266,0.00312503130042229,1.2709722510708e-09,0.000722824553564444,0.979362392466844
"TCGA.AA.3681.01A",0.035770756659439,0.025150057933362,0.0171263137655138,0.0209216752943905,0.00191960256680546,0.0203259328727283,0.878785660907761
"TCGA.D5.5538.01A",8.73731771563139e-08,1.61826888098706e-05,0.156878863247389,0.0499392702510245,3.42060004834801e-08,0.0025582991748371,0.790607263058762
"TCGA.AA.3870.01A",0.0137776760554132,0.0715552973373941,0.111604334900522,0.0464176962554573,1.06668481184326e-08,0.00956125532603812,0.747083729458327
"TCGA.CM.6679.01A",0.0648139072205424,0.0395903441874834,0.205027563308084,0.0133152322067697,1.10015819602452e-08,0.00781656190891014,0.669436380166629
"TCGA.T9.A92H.01A",3.1183637381712e-08,0.0141594953649945,0.0165952645850881,0.00758067513697623,5.15584271768708e-08,0.0058080626665016,0.955856419504375
"TCGA.A6.3809.01A.1",1.66157608988849e-08,4.89062043666424e-09,0.0512682250051938,0.0655803727377294,0.0180061519250532,4.78255504328193e-05,0.865097403275209
"TCGA.AA.3818.01A",0.00174425084445592,0.0183147596036937,0.0335554763856275,0.0147779202889055,0.00211479615740975,0.00957431778046056,0.919918478939447
"TCGA.CA.5254.01A",0.00820166660752023,2.23256248096496e-09,0.135192669121765,0.0108107398042328,4.15086811139423e-08,3.73785053388532e-08,0.845794843346733
"TCGA.AA.3672.01A",3.14744106034258e-05,0.0826878245749028,0.00397044031898311,0.0721227400880299,0.0340799814440167,3.56625379850659e-08,0.807107503500926
"TCGA.AD.5900.01A",0.0111163129251944,0.087033292886788,0.0879675110709666,0.0332834913363902,2.08937655102398e-08,0.0440590490285422,0.736540321858353
"TCGA.CA.6719.01A",0.00432595952255035,0.118348012639747,0.151603856122937,0.0260990367197191,8.7294788991553e-10,0.0173986126018015,0.682224521520297
"TCGA.A6.6654.01A",1.24246621995131e-07,0.0612646750641179,0.335207601384535,0.0808657536786075,3.52163630898823e-06,0.0156531480088529,0.507005175980956
"TCGA.CM.6161.01A",0.00236552679795592,0.0201267884919076,0.0617557583756946,0.0194938516550205,2.21563260085555e-08,0.0343063489610531,0.861951703562042
"TCGA.AA.3814.01A",2.35607404784417e-07,2.65671622801547e-09,0.145023466612488,0.0392499910678046,0.00109948909907538,1.90585235954282e-09,0.814626813050659
"TCGA.AA.3697.01A",0.0216772273185134,0.0262987778250753,0.0188105719976553,0.0141298047953699,1.27375651306219e-09,0.014424187227723,0.904659429561907
"TCGA.AA.3532.01A",0.0272389805957996,0.00642009210090992,0.0980649883844421,0.0340656867973491,2.65701287508601e-08,0.0198051657488824,0.814405059802488
"TCGA.AZ.6606.01A",0.00189892534108642,0.0240411226364088,0.00633393027396488,0.00466516692813845,5.93048439542781e-09,0.00529383650694835,0.957767012382969
"TCGA.CK.4947.01B",0.0345430628953874,3.16741534535121e-08,0.0930285537151673,0.0236146034153913,1.12253154799892e-07,0.0171314946830211,0.831682141363725
