	0
1190	CPT1C
1191	CPVL
1192	CPXM1
1193	CRABP2
1194	CRADD
1195	CRAT
1196	CRB3
1197	CREB3L2
1198	CREB5
1199	CREBBP
1200	CREBL2
1201	CRELD1
1202	CRELD2
1203	CRIM1
1204	CRIP2
1205	CRIP3
1206	CRIPT
1207	CRISPLD2
1208	CRK
1209	CRLF3
1210	CRMP1
1211	CROCC
1212	CRTAM
1213	CRTAP
1214	CRTC3
1215	CRY1
1216	CRYAB
1217	CRYBG3
1218	CRYL1
1219	CSAD
1220	CSDE1
1221	CSF1
1222	CSF1R
1223	CSF2RB
1224	CSGALNACT1
1225	CSK
1226	CSMD2
1227	CSNK1D
1228	CSNK1E
1229	CSPG4
1230	CSRNP1
1231	CSRNP2
1232	CSRP1
1233	CSRP2
1234	CST3
1235	CST7
1236	CSTA
1237	CSTB
1238	CTBP1
1239	CTBP2
1240	CTDNEP1
1241	CTDP1
1242	CTDSPL
1243	CTGF
1244	CTHRC1
1245	CTIF
1246	CTLA4
1247	CTNNA1
1248	CTNNAL1
1249	CTNNB1
1250	CTNNBIP1
1251	CTNNBL1
1252	CTNND1
1253	CTR9
1254	CTSA
1255	CTSB
1256	CTSC
1257	CTSD
1258	CTSF
1259	CTSG
1260	CTSH
1261	CTSK
1262	CTSO
1263	CTSS
1264	CTSW
1265	CTSZ
1266	CTTN
1267	CTTNBP2
1268	CTTNBP2NL
1269	CUBN
1270	CUL9
1271	CUTA
1272	CUTC
1273	CUX1
1274	CWC15
1275	CWC25
1276	CX3CL1
1277	CX3CR1
1278	CXADR
1279	CXCL10
1280	CXCL12
1281	CXCL13
1282	CXCL14
1283	CXCL16
1284	CXCL2
1285	CXCL3
1286	CXCL5
1287	CXCL6
1288	CXCL9
1289	CXCR2
1290	CXCR3
1291	CXCR4
1292	CXCR6
1293	CXXC5
1294	CXorf21
1295	CXorf40A
1296	CXorf57
1297	CYB561D1
1298	CYB561D2
1299	CYB5A
1300	CYB5B
1301	CYB5D2
1302	CYB5R1
1303	CYB5R3
1304	CYBB
1305	CYBRD1
1306	CYC1
1307	CYFIP1
1308	CYFIP2
1309	CYGB
1310	CYP19A1
1311	CYP24A1
1312	CYP27A1
1313	CYP2J2
1314	CYP2S1
1315	CYP2U1
1316	CYP2W1
1317	CYP39A1
1318	CYP3A5
1319	CYP46A1
1320	CYP4F3
1321	CYP51A1
1322	CYP7B1
1323	CYS1
1324	CYSLTR2
1325	CYSTM1
1326	CYTH3
1327	CYYR1
1328	DAAM2
1329	DAB2
1330	DACH1
1331	DACT3
1332	DAGLA
1333	DAP3
1334	DAPK1
1335	DAPK2
1336	DAPK3
1337	DAPL1
1338	DAPP1
1339	DBF4
1340	DBI
1341	DBN1
1342	DBNDD1
1343	DCAF11
1344	DCAF13
1345	DCAF5
1346	DCAF6
1347	DCAF7
1348	DCBLD1
1349	DCBLD2
1350	DCK
1351	DCLK2
1352	DCLRE1B
1353	DCP1B
1354	DCPS
1355	DCTN1
1356	DCTN4
1357	DCTPP1
1358	DCUN1D5
1359	DCXR
1360	DDA1
1361	DDAH2
1362	DDB1
1363	DDB2
1364	DDIT3
1365	DDIT4
1366	DDIT4L
1367	DDO
1368	DDR1
1369	DDR2
1370	DDX17
1371	DDX19B
1372	DDX39A
1373	DDX39B
1374	DDX3X
1375	DDX5
1376	DDX50
1377	DDX54
1378	DDX58
1379	DDX6
1380	DECR1
1381	DEDD2
1382	DEF6
1383	DEFB1
1384	DEK
1385	DENND1A
1386	DENND1C
1387	DENND2A
1388	DENND2D
1389	DENND4A
1390	DENND4B
1391	DENND4C
1392	DENND5A
1393	DENND5B
1394	DENND6B
1395	DEPDC1
1396	DEPDC1B
1397	DEPDC7
1398	DEPTOR
1399	DERL1
1400	DERL3
1401	DESI1
1402	DESI2
1403	DEXI
1404	DFFA
1405	DGAT2
1406	DGCR6L
1407	DGKA
1408	DGKD
1409	DGKE
1410	DGKZ
1411	DGUOK
1412	DHCR24
1413	DHDH
1414	DHFR
1415	DHRS1
1416	DHRS3
1417	DHRS4
1418	DHRS4L2
1419	DHRS7
1420	DHRS7B
1421	DHRS9
1422	DHRSX
1423	DHTKD1
1424	DHX15
1425	DIAPH2
1426	DIAPH3
1427	DICER1
1428	DIP2A
1429	DIP2B
1430	DIP2C
1431	DIRAS3
1432	DIRC2
1433	DISC1
1434	DISP1
1435	DIXDC1
