,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-BH-A0HI-01A,11.382,482.068,24.602,3.922,5.571,200.205,185.385,22.384,1.000,170.287,8.301,5.352,1865.554
TCGA-A2-A3XW-01A,14.563,510.791,40.151,10.731,26.347,195.498,345.143,92.735,4.702,533.523,41.763,4.570,1486.084
TCGA-E9-A22E-01A,17.320,1915.949,38.461,17.489,2.085,125.106,260.683,37.662,1.070,570.483,37.469,19.073,589.366
TCGA-A2-A04W-01A,11.554,541.301,14.885,2.545,1.714,76.981,127.089,26.134,1.000,249.290,4.102,1.210,695.659
TCGA-D8-A3Z5-01A,49.093,172.004,13.266,7.929,4.663,220.306,99.945,3.538,1.444,401.157,26.330,52.249,1925.212
TCGA-B6-A400-01A,11.547,343.136,63.673,5.906,27.424,72.168,458.055,6.054,5.589,588.824,10.164,3.117,932.121
TCGA-A1-A0SH-01A,10.075,2114.445,63.818,2.802,5.668,70.048,167.082,106.522,1.000,321.631,5.742,2.897,2267.099
TCGA-A8-A0AD-01A,8.643,710.325,60.414,3.203,10.806,70.988,265.623,55.719,1.249,163.262,6.252,8.685,832.770
TCGA-AQ-A04H-01B,4.598,166.679,30.930,4.795,5.315,218.432,160.852,22.878,1.715,101.616,9.865,43.554,2175.649
TCGA-AN-A04C-01A,14.018,83.364,19.373,4.365,3.207,114.954,158.383,23.953,1.000,59.440,12.646,4.879,2844.708
TCGA-AN-A03X-01A,9.921,1000.480,26.525,4.724,4.395,87.975,199.061,113.612,1.000,311.463,2.535,4.985,2518.244
TCGA-A2-A3XZ-01A,106.029,274.204,87.599,15.609,98.080,87.575,318.813,13.811,2.887,183.701,71.849,8.993,1680.551
TCGA-AC-A8OQ-01A,169.892,625.281,62.068,20.056,15.497,194.756,398.747,10.535,3.915,705.497,53.407,6.543,1120.321
TCGA-BH-A1EV-01A,8.235,456.498,18.421,1.390,2.680,73.165,145.293,1.000,1.000,293.232,2.630,24.092,1279.927
TCGA-B6-A0IB-01A,11.708,134.945,8.756,2.100,2.145,98.635,54.978,19.577,1.000,164.918,7.128,2.141,1539.714
TCGA-AR-A1AX-01A,76.527,632.156,144.661,55.260,48.030,144.441,389.600,356.471,8.498,154.243,104.993,20.733,1030.578
TCGA-BH-A1FB-01A,42.131,1222.204,104.086,34.754,64.777,117.306,308.109,125.175,6.551,265.086,67.675,9.517,1242.617
TCGA-E2-A574-01A,9.610,84.370,4.513,14.092,1.000,14.625,22.120,1.000,1.000,176.269,1.212,1.000,3372.839
TCGA-A8-A07I-01A,28.956,674.994,53.079,7.410,6.672,84.412,466.365,32.946,3.615,235.431,17.715,5.543,2305.217
TCGA-EW-A423-01A,15.098,169.558,30.980,8.942,2.978,139.543,508.209,12.497,1.000,159.262,33.556,23.123,2737.441
TCGA-A2-A3XY-01A,30.627,1065.940,85.972,9.109,21.204,201.458,338.422,27.080,11.790,288.802,75.491,4.100,385.311
TCGA-AC-A7VC-01A,13.542,679.747,47.602,1.052,2.474,507.127,205.125,2.577,1.281,523.620,11.601,1.000,39.380
TCGA-E2-A2P6-01A,14.353,126.794,30.226,2.694,3.348,107.113,264.348,163.022,1.000,163.693,5.550,12.227,2220.170
TCGA-A2-A04Y-01A,13.865,111.387,43.575,14.316,3.966,68.305,325.263,27.036,3.662,81.514,22.706,2.745,3193.283
TCGA-BH-A0E9-01B,14.892,482.359,61.563,18.436,22.472,204.152,182.545,47.113,2.828,396.576,30.970,7.484,1198.321
TCGA-AC-A2BK-01A,17.997,24.917,9.656,9.373,1.704,31.880,129.652,1.000,1.000,69.520,7.901,1.000,492.105
TCGA-EW-A1J6-01A,21.595,42.231,18.766,5.672,6.343,29.035,159.670,4.359,1.975,116.138,17.916,1.567,652.658
TCGA-BH-A204-01A,2.651,126.098,11.727,5.272,1.956,77.135,125.399,7.610,1.000,97.523,1.855,5.300,827.009
TCGA-OL-A5RW-01A,9.769,229.039,25.159,5.369,3.259,41.745,529.151,1.065,3.382,183.151,11.444,1.544,2107.612
TCGA-EW-A1OY-01A,11.743,290.699,24.787,4.405,4.157,78.023,146.022,15.665,2.351,187.114,12.074,11.741,1975.021
TCGA-AC-A8OS-01A,19.945,734.965,47.073,18.438,14.861,248.251,227.735,231.580,3.952,184.437,39.362,12.339,1193.716
TCGA-LL-A5YP-01A,28.980,1501.472,55.513,6.054,10.642,133.590,662.728,40.479,8.933,327.759,20.872,3.328,752.999
TCGA-A2-A0YK-01A,70.559,549.496,121.975,67.666,61.253,266.215,312.194,76.466,5.765,397.283,116.814,13.499,592.081
TCGA-GM-A2DL-01A,17.318,757.933,32.402,1.739,9.951,96.033,222.686,38.612,2.272,345.915,7.909,2.544,1101.136
TCGA-AO-A0JF-01A,7.922,743.184,75.589,20.969,16.000,321.257,326.082,112.821,3.531,240.526,34.608,4.461,1388.838
TCGA-BH-A0HQ-01A,11.429,755.238,27.454,1.980,6.411,119.499,142.661,196.725,1.619,375.921,4.338,3.650,2647.761
TCGA-AR-A254-01A,24.200,649.757,103.088,15.315,12.734,73.090,610.772,6.884,6.987,166.638,36.344,11.416,2035.552
TCGA-B6-A0I2-01A,54.476,27.307,50.473,48.819,8.974,43.811,535.061,3.952,1.848,44.905,315.345,5.466,1788.116
TCGA-AR-A24H-01A,16.306,94.869,58.009,14.719,9.607,53.590,431.513,12.239,2.514,69.485,28.106,17.294,2571.026
TCGA-LL-A440-01A,10.303,2246.422,107.401,6.636,40.434,231.201,984.206,157.863,7.727,380.978,19.997,22.503,511.355
TCGA-D8-A27M-01A,105.837,964.397,108.852,26.739,37.801,113.710,678.202,8.897,3.711,269.182,73.492,5.627,821.586
TCGA-AR-A24W-01A,11.495,576.802,28.498,7.454,12.274,94.977,69.124,46.556,1.389,338.943,10.160,4.215,1070.941
TCGA-D8-A1JU-01A,10.553,1830.854,56.769,17.660,31.783,196.579,464.324,148.468,4.183,350.859,39.819,5.377,1207.747
TCGA-E2-A1BD-01A,5.707,465.755,15.999,5.869,1.995,122.427,161.518,47.924,1.000,250.556,12.619,65.726,1837.961
TCGA-C8-A12Q-01A,17.433,573.082,45.024,7.445,12.620,146.448,270.486,24.075,1.409,190.030,15.469,4.443,1400.286
TCGA-BH-A18F-01A,29.107,751.931,49.757,18.414,22.867,204.981,188.542,76.817,3.119,303.621,34.182,6.018,1651.568
TCGA-A2-A0D1-01A,7.667,201.938,8.098,3.890,1.279,134.185,59.486,1.000,1.000,82.841,9.932,1.000,716.931
TCGA-BH-A1FD-01A,31.448,728.970,36.338,1.611,3.388,59.331,232.894,9.724,4.449,126.238,4.773,3.294,1531.454
TCGA-A2-A0YM-01A,7.604,295.617,106.400,8.940,9.174,59.884,423.010,1.000,47.003,153.021,41.092,12.260,1462.342
TCGA-E9-A5UP-01A,4.946,54.213,12.204,1.377,1.465,26.724,116.183,1.000,5.986,23.564,12.002,5.577,4859.772
TCGA-C8-A1HF-01A,42.914,778.087,55.375,35.068,6.548,86.706,658.110,6.089,1.487,319.364,128.507,5.944,921.106
TCGA-EW-A1P1-01A,5.163,1358.371,71.015,20.168,18.771,517.053,352.537,14.875,7.950,411.141,43.032,7.027,906.357
TCGA-A7-A4SB-01A,22.580,160.933,8.054,4.389,2.010,128.198,90.122,40.049,1.000,113.435,7.152,1.827,3820.102
TCGA-BH-A0E2-01A,16.614,350.410,27.787,15.089,3.929,80.221,138.997,81.574,2.581,328.364,32.145,1.882,1118.310
TCGA-AR-A0TU-01A,9.364,74.913,52.037,19.432,11.707,47.185,591.770,1.557,4.809,22.271,91.257,2.283,573.104
TCGA-E9-A295-01A,13.199,475.424,21.342,8.558,13.776,136.910,137.056,60.115,1.800,161.888,21.737,2.445,2065.079
TCGA-LD-A7W6-01A,30.175,389.728,39.686,21.962,7.152,206.379,257.363,56.315,1.299,205.208,26.090,32.737,1750.871
TCGA-E2-A1LK-01A,4.327,95.636,18.771,4.867,1.635,26.088,172.179,1.000,4.938,130.746,61.207,1.172,287.665
TCGA-AO-A0J7-01A,6.886,214.063,12.573,1.376,2.643,52.749,81.033,49.533,1.000,108.449,5.879,2.426,1707.870
TCGA-AO-A03U-01B,8.059,377.024,100.871,7.310,58.257,86.429,839.110,6.210,1.986,157.853,155.083,6.933,1131.691
TCGA-E9-A1RB-01A,5.556,298.530,23.066,1.947,4.005,48.245,165.816,54.193,1.837,157.095,12.594,44.465,758.616
TCGA-A2-A0SU-01A,6.665,387.716,42.546,11.618,23.838,200.312,132.152,28.414,3.118,181.660,24.245,6.459,1433.175
TCGA-E9-A1R2-01A,16.838,385.863,37.314,15.958,8.597,156.969,195.277,17.174,2.016,147.251,34.032,31.873,3859.136
TCGA-BH-A42U-01A,46.504,485.484,38.238,13.288,21.721,271.817,316.936,41.846,3.113,979.871,103.064,5.441,1268.329
TCGA-E9-A54Y-01A,10.569,15.156,9.049,1.000,1.000,34.637,94.273,44.156,1.000,140.400,4.549,8.802,6357.739
TCGA-XX-A899-01A,50.743,1230.983,156.638,29.013,54.628,253.232,427.680,206.773,13.852,212.686,49.051,32.215,1517.095
TCGA-A2-A0CU-01A,6.383,178.000,16.716,3.799,6.400,126.289,110.661,35.076,1.455,390.312,9.013,15.586,3651.638
TCGA-E2-A14U-01A,8.124,143.415,22.782,6.662,6.559,101.445,176.909,47.799,1.000,594.232,14.800,13.723,1629.630
TCGA-BH-A0GZ-01A,6.869,443.272,11.646,4.462,2.672,99.034,82.362,54.229,1.000,297.568,6.345,3.089,2505.625
TCGA-E9-A1NH-01A,13.192,1099.252,33.835,8.344,5.236,192.049,187.316,24.537,1.000,450.155,14.984,4.714,1830.115
TCGA-A8-A079-01A,48.333,120.571,30.748,3.683,3.905,51.567,244.019,17.350,1.205,70.516,8.282,3.180,2087.457
TCGA-B6-A0IO-01A,5.276,167.524,15.445,6.248,7.548,42.878,114.657,15.248,1.213,103.373,15.967,21.032,1412.179
TCGA-BH-A0DG-01A,28.250,989.527,74.187,9.847,18.013,166.279,463.614,18.718,2.062,322.019,33.337,4.538,870.851
TCGA-A2-A04Q-01A,183.611,868.381,145.472,76.210,31.948,97.461,811.876,9.591,9.340,157.189,357.816,6.048,648.144
TCGA-D8-A140-01A,91.453,198.682,47.193,18.453,8.222,127.234,303.314,38.969,1.778,157.261,39.180,14.695,1556.424
TCGA-BH-A0BP-01A,7.221,512.735,21.447,3.682,8.807,192.616,205.509,35.385,2.586,307.326,11.373,4.814,853.773
TCGA-D8-A1XR-01A,9.249,152.701,22.682,3.289,8.305,85.347,209.620,29.980,1.000,112.001,4.849,5.788,911.094
TCGA-AR-A0TX-01A,43.360,531.202,96.454,27.852,39.473,134.240,440.272,20.693,2.700,82.577,95.370,11.424,1449.087
TCGA-A1-A0SG-01A,39.077,746.960,34.743,7.018,14.035,108.749,140.819,110.876,1.220,251.376,10.918,2.825,4839.559
TCGA-AO-A12F-01A,8.818,332.517,16.683,1.828,2.637,210.848,85.854,11.382,4.118,233.753,3.998,5.381,898.787
TCGA-E2-A152-01A,13.431,1114.251,35.602,3.519,4.151,112.634,282.169,24.329,1.000,331.234,7.010,3.379,1417.099
TCGA-EW-A1P6-01A,24.428,544.969,21.076,6.602,4.129,56.532,147.420,31.967,1.210,178.898,9.187,2.192,3079.386
TCGA-E2-A1LI-01A,22.583,138.075,37.311,4.896,6.353,59.016,122.513,39.792,14.461,450.493,31.984,43.376,645.753
TCGA-AN-A0FX-01A,14.910,485.118,22.764,13.575,4.783,125.455,151.898,11.481,2.279,606.173,13.543,1.681,570.667
TCGA-AO-A1KP-01A,4.163,310.848,6.760,1.777,1.224,22.879,23.163,15.113,1.000,105.611,4.112,17.367,1356.444
TCGA-E9-A1N4-01A,16.161,320.108,231.551,10.954,14.311,163.995,177.179,100.226,5.153,131.932,24.124,6.199,483.426
TCGA-B6-A402-01A,9.857,158.137,10.483,3.213,1.276,38.395,83.460,1.313,1.049,301.731,5.223,1.000,1747.431
TCGA-BH-A0B5-01A,12.277,777.319,67.603,11.398,13.015,120.638,311.423,162.760,2.666,237.095,27.985,19.236,1832.919
TCGA-EW-A1J2-01A,9.628,1236.088,81.418,18.666,14.988,157.671,370.314,45.966,4.040,364.854,38.572,16.692,1447.285
TCGA-E9-A244-01A,10.856,299.964,14.793,10.543,3.794,36.678,87.563,1.623,1.078,704.307,12.109,1.000,1181.151
TCGA-GM-A2DO-01A,313.548,130.929,230.335,94.928,52.105,59.850,298.093,65.368,7.775,41.134,438.800,6.587,1520.099
TCGA-C8-A12N-01A,8.470,1122.264,53.746,4.293,6.984,85.122,170.616,37.383,1.559,315.413,9.721,18.143,2705.667
TCGA-AN-A0FT-01A,5.640,302.420,15.210,4.205,2.108,156.191,226.544,37.155,1.019,163.771,15.103,34.037,3273.694
TCGA-A8-A09W-01A,6.816,240.579,48.493,5.531,4.567,112.709,282.330,47.547,1.000,73.925,9.163,3.351,2996.568
TCGA-A8-A07B-01A,8.106,421.180,23.458,3.139,4.017,71.690,175.802,21.120,1.000,93.985,10.463,1.193,869.343
TCGA-BH-A18M-01A,10.237,956.813,46.741,8.847,12.958,146.144,222.026,61.905,5.038,364.302,19.234,10.603,1872.602
TCGA-A2-A04P-01A,34.675,65.853,25.620,5.421,5.427,107.441,131.625,2.709,1.218,223.535,19.716,1.002,746.828
TCGA-D8-A1XB-01A,11.634,1435.857,27.464,2.843,5.098,75.837,131.727,178.302,1.000,337.439,4.741,4.568,781.475
TCGA-B6-A0X5-01A,11.044,82.352,11.029,1.350,1.477,31.835,83.276,23.453,1.000,66.880,3.437,1.704,947.331
TCGA-AQ-A04J-01A,65.780,300.222,121.521,18.858,28.602,229.606,225.944,8.276,5.263,463.896,43.280,2.417,420.129
TCGA-Z7-A8R6-01A,5.903,300.717,24.192,4.049,4.493,80.132,189.000,128.587,1.340,174.022,19.145,9.477,2511.477
TCGA-AC-A3W6-01A,14.701,1410.452,69.661,26.351,20.030,321.448,486.803,117.293,1.733,361.706,68.801,6.678,1224.234
TCGA-E9-A1N5-01A,12.572,669.570,60.938,28.417,16.746,164.199,349.333,134.464,4.204,252.779,76.190,4.742,775.153
TCGA-B6-A0IM-01A,4.292,509.467,26.456,3.618,5.207,137.698,140.344,8.065,1.416,161.481,7.602,4.771,1616.235
TCGA-C8-A273-01A,44.733,432.782,20.106,2.744,3.591,79.292,174.408,37.438,1.336,418.417,12.003,2.846,2471.219
TCGA-A2-A4S1-01A,1.982,3171.812,97.306,5.684,10.431,128.512,1381.017,15.570,2.427,465.897,41.606,5.537,7.491
TCGA-A2-A4S2-01A,18.931,1030.234,68.971,26.069,17.818,150.403,615.583,52.727,6.883,132.447,85.851,9.129,1904.101
TCGA-OL-A5D8-01A,8.384,203.499,32.665,5.891,9.730,127.214,292.618,13.161,1.647,147.127,29.236,29.242,1777.820
TCGA-A7-A26E-01B,19.172,603.828,28.961,3.634,16.473,31.112,134.752,13.752,1.000,102.241,7.982,24.316,823.579
TCGA-D8-A27T-01A,19.141,1373.640,70.263,17.292,14.283,118.863,393.830,115.439,7.821,213.620,33.367,13.522,1516.704
TCGA-E2-A15S-01A,6.257,51.829,9.676,4.415,2.274,92.202,66.383,6.423,1.000,38.396,7.476,19.615,1808.324
TCGA-B6-A1KC-01B,4.058,64.954,18.564,3.283,3.357,56.322,120.768,19.303,1.000,42.808,3.097,4.850,961.152
TCGA-GI-A2C9-01A,4.870,680.525,44.755,5.144,10.579,42.554,376.416,28.781,6.225,153.790,7.839,1.535,754.493
TCGA-BH-A0BG-01A,24.857,250.215,63.669,30.548,13.350,71.785,283.055,3.225,2.743,434.018,90.396,1.799,1083.744
TCGA-A7-A6VW-01A,11.284,338.826,23.027,1.933,3.717,55.357,498.481,3.493,5.324,153.136,30.277,6.572,1741.537
TCGA-AQ-A04L-01B,5.508,396.755,17.927,1.209,2.202,70.888,112.427,3.149,1.000,257.710,3.779,5.171,1146.894
TCGA-AR-A24Z-01A,18.699,118.804,34.147,4.037,3.762,83.090,229.140,1.929,2.717,74.975,7.653,32.057,1590.889
TCGA-A2-A04X-01A,56.204,165.255,68.015,19.714,10.358,169.611,642.986,62.606,4.385,165.230,99.180,3.899,1413.912
TCGA-OL-A66N-01A,64.896,1196.519,34.387,13.898,28.269,250.016,306.834,363.505,1.542,307.882,44.763,5.302,2898.391
TCGA-E2-A15K-01A,48.337,507.276,100.205,28.943,25.791,150.213,253.865,61.202,4.535,167.062,62.677,15.592,2371.145
TCGA-LL-A6FP-01A,7.603,83.354,6.665,1.000,2.293,60.439,99.664,13.379,1.000,196.842,3.578,1.906,2748.414
TCGA-B6-A0RU-01A,7.858,414.193,22.945,5.399,11.571,150.082,125.620,10.047,1.387,308.637,10.374,1.000,533.849
TCGA-BH-A0W7-01A,50.748,1123.467,87.749,33.221,22.382,90.186,464.039,146.054,3.636,341.882,88.406,13.937,1930.264
TCGA-PE-A5DC-01A,6.929,230.823,14.112,6.812,3.941,270.092,131.128,62.397,1.000,299.984,16.895,4.217,2683.479
TCGA-AC-A8OP-01A,13.499,466.174,30.921,5.966,21.891,161.396,140.873,83.349,3.567,134.084,25.448,7.318,1163.332
TCGA-AC-A2FO-01A,51.091,893.346,129.906,27.904,46.655,255.683,422.167,47.193,7.344,271.796,48.673,14.243,1933.371
TCGA-BH-A0H3-01A,10.387,1128.481,43.028,16.460,18.230,148.792,157.725,20.605,1.697,242.343,22.710,20.090,857.142
TCGA-BH-A18K-01A,11.725,808.366,23.059,4.115,5.980,113.082,137.072,29.518,1.141,295.522,10.625,27.755,2443.898
TCGA-A8-A075-01A,71.572,628.039,50.536,14.205,7.030,90.781,366.529,22.600,4.518,281.989,44.027,7.491,2218.127
TCGA-B6-A0RT-01A,140.101,402.301,245.318,208.604,71.768,176.116,1094.122,7.462,7.776,106.076,435.073,12.214,377.878
TCGA-A8-A07G-01A,17.093,1405.006,30.998,10.630,7.984,108.252,143.885,17.577,1.203,375.724,20.012,2.657,713.897
TCGA-C8-A1HK-01A,20.666,225.864,22.561,7.534,5.097,58.952,161.763,2.016,1.000,54.938,32.079,2.075,1343.893
TCGA-E2-A1IH-01A,45.009,941.734,82.713,39.631,23.764,122.030,289.903,92.902,5.196,221.605,107.438,3.653,898.734
TCGA-E9-A1NF-01A,11.035,2062.155,36.598,5.518,3.472,217.000,425.020,14.991,1.820,473.503,17.786,3.102,561.222
TCGA-BH-A0B0-01A,13.244,1284.528,61.368,18.344,27.442,219.895,178.648,120.527,5.422,309.284,50.829,5.110,1125.903
TCGA-EW-A1OZ-01A,6.235,648.989,35.233,4.052,6.260,104.986,270.274,63.437,3.535,227.663,10.600,3.815,5350.852
TCGA-A7-A3RF-01A,84.667,123.076,11.924,2.258,1.339,166.902,211.885,31.877,1.197,106.413,5.584,1.584,2061.799
TCGA-BH-A0BJ-01A,18.672,531.292,44.436,18.012,12.327,164.708,190.206,69.554,1.937,233.519,29.095,5.020,1275.803
TCGA-C8-A12K-01A,27.905,278.004,115.991,43.540,16.402,62.154,1028.812,1.000,12.531,107.827,251.815,10.250,341.603
TCGA-AR-A0TW-01A,46.034,269.314,50.886,27.219,8.322,50.140,607.150,25.697,1.621,59.994,74.275,9.782,2254.562
TCGA-BH-A1FN-01A,10.213,813.411,19.442,4.158,2.119,101.234,123.197,9.840,10.390,218.681,10.472,4.438,849.710
TCGA-AN-A0XL-01A,7.870,469.490,24.620,5.319,11.258,331.355,158.049,75.953,2.149,421.167,18.204,4.488,2245.394
TCGA-E2-A1LB-01A,14.671,481.695,16.264,1.397,3.581,93.077,145.360,9.529,1.000,178.214,4.269,1.905,1601.127
TCGA-BH-A0H7-01A,10.710,986.109,22.069,6.014,6.997,96.658,114.694,35.942,1.000,192.189,17.845,10.257,4081.145
TCGA-A2-A1FX-01A,6.379,274.784,48.359,13.290,7.606,184.769,436.510,95.593,2.697,113.401,27.496,10.526,2700.429
TCGA-E2-A15J-01A,6.061,165.196,13.822,1.000,2.152,65.316,95.303,2.639,1.000,79.486,2.690,3.988,1774.544
TCGA-A2-A0T3-01A,7.847,199.249,17.598,7.319,4.806,107.104,70.397,5.116,1.000,122.819,7.145,3.973,1111.937
TCGA-A8-A081-01A,29.808,79.213,68.797,39.915,15.918,78.919,522.069,14.476,3.433,80.701,87.526,105.020,1910.760
TCGA-A8-A096-01A,15.294,736.007,117.012,26.527,17.025,145.198,826.510,15.678,4.894,275.274,40.739,7.874,1893.895
TCGA-BH-A209-01A,82.906,357.402,170.462,67.582,36.303,87.130,747.297,20.009,6.027,93.749,145.059,6.303,1138.441
TCGA-GM-A2D9-01A,30.994,332.652,32.290,4.037,7.381,139.653,169.723,17.341,1.007,337.455,15.961,6.734,3869.789
TCGA-A2-A0T7-01A,8.894,1210.726,48.809,16.081,8.227,77.985,194.470,47.130,1.095,405.436,14.355,5.025,2206.357
TCGA-D8-A1XS-01A,11.125,713.507,37.888,7.828,8.396,72.678,186.724,32.021,1.602,220.245,14.091,4.899,2264.359
TCGA-AR-A2LL-01A,11.931,450.717,53.080,7.794,14.491,57.647,539.228,91.144,2.568,101.889,8.631,6.694,2941.662
TCGA-B6-A0IP-01A,48.140,459.930,23.839,9.660,12.250,99.957,139.202,41.355,1.000,193.917,25.022,5.451,1694.170
TCGA-A1-A0SD-01A,11.739,503.789,35.346,4.913,9.334,202.431,184.736,20.091,1.463,385.000,17.139,4.501,2083.930
TCGA-EW-A424-01A,31.013,815.735,6.969,3.469,3.202,98.074,74.575,47.628,1.000,378.112,5.792,31.815,2067.270
TCGA-3C-AALI-01A,33.322,676.388,51.223,33.420,8.379,136.134,490.485,11.460,2.656,199.886,77.191,16.520,2237.578
TCGA-B6-A0I1-01A,32.406,36.195,3.918,7.202,1.453,30.885,56.828,1.000,1.236,146.421,2.448,12.935,1975.993
TCGA-AC-A2QJ-01A,11.851,1324.095,94.704,2.506,17.478,143.630,1814.861,20.446,7.931,786.209,33.583,3.375,75.223
TCGA-AR-A5QQ-01A,62.643,677.553,93.911,27.070,28.515,91.055,1079.419,28.115,7.304,137.683,108.045,10.015,1441.061
TCGA-BH-A8G0-01A,72.371,1497.126,132.470,14.456,47.177,214.208,363.598,114.693,6.974,337.703,26.191,9.085,1026.299
TCGA-D8-A1XQ-01A,76.116,466.415,109.676,14.960,14.496,58.418,837.494,52.794,8.479,552.604,51.064,17.322,1181.588
TCGA-D8-A73U-01A,115.392,892.561,160.768,89.075,36.691,208.623,1697.863,75.487,8.274,179.909,166.345,15.185,1002.655
TCGA-C8-A26Y-01A,10.777,118.197,20.156,5.957,3.291,58.227,171.291,4.013,1.570,88.333,15.144,1.994,1048.109
TCGA-AC-A8OR-01A,6.525,65.389,30.762,2.001,4.232,71.281,309.376,2.513,1.430,183.573,7.838,3.976,3408.749
TCGA-D8-A27K-01A,28.370,538.831,54.511,16.046,18.545,88.838,187.402,21.007,1.526,156.672,25.504,17.500,994.829
TCGA-EW-A1IY-01A,24.004,501.820,86.927,41.716,32.522,68.240,273.778,20.689,1.000,197.119,119.897,2.652,485.140
TCGA-BH-A18V-01A,15.132,414.319,91.994,23.672,13.949,91.900,444.747,6.205,23.288,307.550,47.561,6.976,616.548
TCGA-BH-A0B9-01A,19.904,81.872,61.257,62.525,29.541,22.203,409.684,1.000,2.897,125.309,109.660,6.234,1058.078
TCGA-A2-A0T2-01A,5.408,169.217,15.273,9.842,1.520,106.268,197.967,1.000,2.021,193.166,21.585,21.278,1924.913
TCGA-AR-A1AS-01A,7.432,513.975,31.682,1.000,3.110,57.080,234.676,15.822,1.000,216.107,2.480,3.651,2201.584
TCGA-E9-A1R4-01A,21.251,311.074,113.103,16.079,17.300,93.509,754.897,7.991,4.063,287.323,40.178,27.965,3200.564
TCGA-E2-A107-01A,11.674,147.428,18.376,6.705,7.073,121.780,140.934,143.859,1.000,89.846,11.994,12.476,4135.519
TCGA-A2-A0T0-01A,7.940,591.532,31.097,3.850,1.970,80.166,301.791,1.000,2.186,193.200,26.253,2.064,997.761
TCGA-BH-A0W4-01A,7.235,812.679,18.277,3.450,7.061,164.314,99.218,62.507,1.000,254.570,7.895,12.609,1868.435
TCGA-W8-A86G-01A,12.455,465.162,11.594,3.440,3.895,114.826,95.582,89.831,1.000,421.769,8.369,48.532,1605.458
TCGA-A8-A097-01A,11.665,791.344,40.475,7.623,7.664,97.174,244.964,24.621,2.079,318.287,13.335,12.182,975.827
TCGA-A2-A0CZ-01A,29.567,1055.439,46.568,14.026,13.201,165.461,187.192,291.862,2.243,401.892,32.204,3.924,1318.417
TCGA-A2-A3XV-01A,10.263,183.505,8.491,1.000,2.658,79.915,233.227,17.576,1.000,207.627,16.379,1.000,2694.718
TCGA-A2-A0ST-01A,220.473,175.664,207.032,72.034,81.621,168.841,561.871,1.000,10.150,119.930,312.693,4.082,868.896
TCGA-EW-A3E8-01B,66.179,619.288,77.381,25.284,28.667,194.993,387.305,350.600,6.503,176.088,71.048,15.605,2116.627
TCGA-A7-A4SD-01A,77.977,733.269,81.187,25.626,10.506,49.832,575.627,14.115,3.770,171.322,64.365,3.179,2024.794
TCGA-3C-AAAU-01A,15.997,115.784,16.309,1.207,4.885,92.661,118.242,2.827,1.000,108.345,4.997,3.392,1035.476
TCGA-LL-A6FQ-01A,23.067,262.993,19.765,1.885,5.510,71.868,217.482,28.938,6.319,192.426,20.987,4.725,9114.167
TCGA-LL-A8F5-01A,205.497,140.669,24.965,11.096,3.791,95.685,348.754,19.810,1.924,509.278,50.209,1.201,1541.793
TCGA-A7-A26J-01B,36.464,411.394,188.268,17.727,20.016,39.929,199.474,16.750,2.440,115.415,10.938,18.644,948.597
TCGA-AC-A3W5-01A,37.666,1920.565,65.646,21.657,23.920,196.627,494.730,48.432,2.480,361.286,68.315,15.372,2010.405
TCGA-D8-A27L-01A,26.812,1215.780,80.605,14.601,28.821,124.467,282.315,154.256,5.877,343.353,26.218,12.358,1899.180
TCGA-E2-A1IJ-01A,17.165,1988.357,61.061,22.469,19.530,163.839,269.472,152.963,2.818,357.639,47.981,8.240,1864.190
TCGA-E9-A229-01A,18.990,1896.211,74.899,8.285,7.855,68.731,468.779,33.467,3.596,286.423,13.367,8.182,1569.197
TCGA-A2-A0CL-01A,120.553,526.399,315.622,104.367,61.720,234.257,706.547,35.525,16.788,135.125,167.353,9.374,991.440
TCGA-A2-A0YG-01A,8.669,304.375,26.656,3.249,5.341,100.511,154.968,11.812,1.055,88.839,5.583,2.622,881.578
TCGA-AQ-A0Y5-01A,35.779,1193.248,30.731,1.000,3.513,153.085,235.288,24.714,1.384,183.958,3.781,22.404,4023.828
TCGA-AO-A0J8-01A,11.286,682.180,54.588,9.473,11.769,88.520,213.074,108.909,3.520,262.074,25.038,6.145,1948.429
TCGA-AO-A1KS-01A,11.784,268.722,39.035,6.406,7.073,53.642,160.379,14.643,1.248,61.191,11.031,23.399,427.789
TCGA-OL-A66J-01A,7.550,503.702,23.603,5.933,11.213,232.867,249.999,12.410,1.982,266.591,37.546,26.003,3180.117
TCGA-A7-A0CD-01A,5.963,223.314,17.004,3.777,2.748,149.548,179.389,57.264,1.000,152.775,6.054,1.778,2345.357
TCGA-EW-A2FS-01A,64.157,140.553,27.173,10.210,12.292,85.514,100.052,9.460,3.939,236.115,36.461,5.266,1784.121
TCGA-D8-A1JT-01A,3.425,69.491,14.675,1.000,2.625,34.820,173.332,2.134,1.885,34.922,11.706,6.577,1018.417
TCGA-D8-A1JS-01A,18.987,51.228,10.946,1.160,1.970,84.744,126.422,6.537,1.000,60.289,4.885,5.017,2675.682
