,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C5-A901-01A,0.007,0.000,0.004,0.015,0.000,0.000,0.877,0.013,0.043,0.027,0.001,0.009,0.002,0.000,0.001,0.001
TCGA-MU-A51Y-01A,0.004,0.000,0.029,0.054,0.000,0.000,0.632,0.079,0.058,0.065,0.008,0.067,0.001,0.001,0.001,0.000
TCGA-EA-A5ZE-01A,0.007,0.000,0.013,0.031,0.000,0.000,0.694,0.073,0.043,0.086,0.005,0.046,0.002,0.001,0.000,0.000
TCGA-IR-A3LI-01A,0.000,0.000,0.000,0.007,0.000,0.000,0.984,0.006,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-ZJ-AAXA-01A,0.000,0.000,0.002,0.008,0.000,0.001,0.890,0.008,0.050,0.016,0.005,0.017,0.002,0.000,0.000,0.000
TCGA-FU-A3NI-01A,0.000,0.000,0.007,0.024,0.000,0.000,0.851,0.029,0.025,0.050,0.001,0.011,0.002,0.000,0.000,0.000
TCGA-DG-A2KM-01A,0.044,0.004,0.025,0.085,0.086,0.000,0.341,0.058,0.017,0.065,0.003,0.262,0.003,0.003,0.002,0.001
TCGA-EA-A97N-01A,0.000,0.000,0.008,0.015,0.000,0.001,0.797,0.024,0.048,0.094,0.004,0.007,0.001,0.000,0.000,0.000
TCGA-DG-A2KJ-01A,0.025,0.000,0.005,0.017,0.000,0.000,0.871,0.030,0.010,0.009,0.000,0.019,0.006,0.005,0.003,0.000
TCGA-VS-A8QM-01A,0.017,0.009,0.036,0.036,0.045,0.023,0.580,0.040,0.077,0.080,0.029,0.022,0.003,0.001,0.001,0.001
TCGA-VS-A8EL-01A,0.006,0.000,0.005,0.057,0.007,0.000,0.716,0.009,0.021,0.073,0.000,0.101,0.001,0.001,0.003,0.000
TCGA-Q1-A73P-01A,0.010,0.000,0.003,0.041,0.000,0.000,0.841,0.013,0.016,0.029,0.001,0.045,0.001,0.000,0.000,0.000
TCGA-PN-A8MA-01A,0.044,0.001,0.006,0.047,0.009,0.000,0.776,0.017,0.041,0.030,0.009,0.020,0.000,0.000,0.000,0.000
TCGA-C5-A1BN-01B,0.000,0.000,0.000,0.012,0.000,0.000,0.936,0.001,0.043,0.004,0.000,0.000,0.002,0.000,0.000,0.000
TCGA-DS-A1O9-01A,0.000,0.000,0.024,0.029,0.000,0.000,0.708,0.009,0.057,0.028,0.002,0.140,0.000,0.000,0.001,0.000
TCGA-DS-A7WH-01A,0.000,0.000,0.000,0.022,0.000,0.000,0.721,0.000,0.073,0.177,0.002,0.003,0.001,0.000,0.000,0.000
TCGA-VS-A9UL-01A,0.007,0.000,0.000,0.024,0.000,0.000,0.877,0.005,0.006,0.075,0.001,0.003,0.000,0.000,0.000,0.000
TCGA-VS-A953-01A,0.000,0.000,0.000,0.036,0.000,0.000,0.921,0.003,0.024,0.000,0.000,0.015,0.000,0.000,0.000,0.000
TCGA-FU-A770-01A,0.000,0.000,0.000,0.011,0.000,0.000,0.929,0.018,0.029,0.009,0.000,0.000,0.000,0.000,0.003,0.000
TCGA-C5-A7CM-01A,0.055,0.000,0.000,0.005,0.000,0.000,0.901,0.000,0.024,0.013,0.000,0.000,0.000,0.000,0.001,0.000
TCGA-ZJ-AAXT-01A,0.005,0.000,0.000,0.033,0.000,0.000,0.914,0.004,0.026,0.001,0.006,0.009,0.001,0.000,0.001,0.001
TCGA-EK-A2R8-01A,0.000,0.000,0.002,0.022,0.000,0.000,0.942,0.000,0.022,0.008,0.000,0.000,0.001,0.000,0.003,0.000
TCGA-C5-A1BJ-01A,0.001,0.000,0.023,0.015,0.019,0.002,0.780,0.024,0.038,0.063,0.010,0.007,0.003,0.000,0.007,0.007
TCGA-VS-A9UJ-01A,0.000,0.000,0.001,0.009,0.000,0.000,0.927,0.005,0.018,0.039,0.000,0.001,0.000,0.000,0.000,0.000
TCGA-EA-A3HQ-01A,0.000,0.000,0.016,0.027,0.010,0.000,0.719,0.038,0.049,0.049,0.000,0.089,0.003,0.000,0.001,0.000
TCGA-JX-A5QV-01A,0.000,0.000,0.002,0.033,0.000,0.000,0.865,0.035,0.016,0.005,0.000,0.038,0.004,0.000,0.000,0.000
TCGA-C5-A1M8-01A,0.000,0.000,0.002,0.020,0.000,0.000,0.927,0.002,0.031,0.004,0.001,0.011,0.001,0.000,0.000,0.000
TCGA-ZJ-AB0I-01A,0.000,0.000,0.000,0.038,0.000,0.000,0.882,0.019,0.023,0.026,0.000,0.011,0.000,0.000,0.000,0.000
TCGA-C5-A0TN-01A,0.000,0.000,0.001,0.018,0.000,0.000,0.936,0.000,0.026,0.008,0.001,0.009,0.000,0.000,0.000,0.000
TCGA-VS-A9UB-01A,0.002,0.000,0.001,0.095,0.008,0.000,0.742,0.048,0.029,0.003,0.001,0.066,0.001,0.000,0.004,0.000
TCGA-LP-A4AU-01A,0.021,0.000,0.001,0.027,0.000,0.000,0.866,0.003,0.061,0.002,0.013,0.000,0.000,0.000,0.006,0.000
TCGA-ZJ-AAXN-01A,0.000,0.000,0.003,0.042,0.000,0.000,0.879,0.015,0.036,0.009,0.001,0.004,0.003,0.008,0.000,0.000
TCGA-C5-A2LY-01A,0.003,0.000,0.004,0.104,0.000,0.000,0.715,0.090,0.011,0.001,0.000,0.066,0.001,0.001,0.001,0.000
TCGA-EK-A2GZ-01A,0.000,0.000,0.005,0.010,0.000,0.000,0.943,0.003,0.014,0.000,0.002,0.014,0.002,0.001,0.004,0.000
TCGA-ZJ-A8QO-01A,0.032,0.000,0.041,0.035,0.032,0.000,0.634,0.053,0.027,0.109,0.003,0.033,0.000,0.001,0.000,0.000
TCGA-FU-A2QG-01A,0.000,0.000,0.001,0.047,0.000,0.000,0.881,0.013,0.046,0.007,0.001,0.001,0.002,0.000,0.000,0.001
TCGA-BI-A0VS-01A,0.005,0.005,0.027,0.022,0.012,0.001,0.808,0.019,0.026,0.056,0.001,0.017,0.001,0.000,0.000,0.000
TCGA-DG-A2KH-01A,0.001,0.000,0.000,0.020,0.000,0.000,0.956,0.014,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-EK-A2RB-01A,0.000,0.000,0.000,0.045,0.000,0.000,0.926,0.000,0.015,0.000,0.000,0.011,0.000,0.001,0.000,0.000
TCGA-VS-A8EI-01A,0.014,0.001,0.006,0.025,0.034,0.000,0.797,0.018,0.045,0.037,0.002,0.017,0.003,0.000,0.000,0.000
TCGA-EK-A2IP-01A,0.000,0.000,0.003,0.031,0.000,0.000,0.935,0.001,0.023,0.005,0.000,0.000,0.000,0.000,0.001,0.000
TCGA-JW-AAVH-01A,0.000,0.000,0.002,0.036,0.000,0.000,0.920,0.009,0.022,0.005,0.000,0.000,0.001,0.005,0.000,0.000
TCGA-MU-A5YI-01A,0.001,0.000,0.017,0.022,0.000,0.000,0.640,0.042,0.079,0.166,0.021,0.011,0.000,0.000,0.000,0.000
TCGA-C5-A7UE-01A,0.003,0.000,0.001,0.012,0.000,0.000,0.942,0.016,0.016,0.000,0.000,0.007,0.001,0.000,0.001,0.001
TCGA-UC-A7PD-01A,0.001,0.000,0.002,0.013,0.000,0.000,0.924,0.009,0.044,0.003,0.000,0.000,0.002,0.000,0.002,0.000
TCGA-DS-A1OC-01A,0.013,0.000,0.000,0.051,0.000,0.000,0.834,0.000,0.033,0.004,0.000,0.062,0.002,0.000,0.001,0.000
TCGA-EA-A1QT-01A,0.000,0.000,0.002,0.029,0.000,0.000,0.896,0.010,0.030,0.022,0.000,0.010,0.000,0.000,0.000,0.000
TCGA-FU-A3TX-01A,0.000,0.000,0.004,0.031,0.002,0.000,0.854,0.027,0.035,0.033,0.000,0.010,0.001,0.000,0.000,0.000
TCGA-VS-A9UQ-01A,0.013,0.000,0.001,0.032,0.001,0.000,0.798,0.021,0.029,0.094,0.000,0.009,0.002,0.000,0.000,0.000
TCGA-FU-A3YQ-01A,0.041,0.000,0.022,0.045,0.000,0.000,0.666,0.056,0.060,0.075,0.001,0.029,0.002,0.001,0.002,0.001
TCGA-EA-A5O9-01A,0.000,0.000,0.001,0.044,0.000,0.000,0.925,0.002,0.016,0.000,0.000,0.010,0.001,0.000,0.001,0.000
TCGA-MA-AA3W-01A,0.004,0.004,0.027,0.104,0.000,0.000,0.690,0.095,0.031,0.008,0.005,0.030,0.002,0.000,0.001,0.000
TCGA-VS-A8QC-01A,0.007,0.000,0.001,0.024,0.000,0.000,0.837,0.008,0.027,0.078,0.000,0.015,0.001,0.001,0.000,0.000
TCGA-VS-A9V2-01A,0.003,0.001,0.002,0.077,0.000,0.000,0.792,0.059,0.029,0.007,0.000,0.021,0.006,0.002,0.001,0.000
TCGA-MY-A913-01A,0.014,0.000,0.009,0.035,0.000,0.000,0.846,0.009,0.046,0.010,0.000,0.026,0.002,0.000,0.002,0.000
TCGA-JW-A5VK-01A,0.002,0.000,0.003,0.003,0.000,0.000,0.968,0.001,0.013,0.000,0.000,0.006,0.000,0.000,0.004,0.000
TCGA-VS-A9UO-01A,0.019,0.000,0.000,0.041,0.000,0.000,0.925,0.005,0.007,0.004,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-C5-A7X3-01A,0.060,0.000,0.012,0.015,0.000,0.000,0.803,0.007,0.031,0.034,0.000,0.030,0.002,0.004,0.001,0.000
TCGA-C5-A1M9-01A,0.000,0.000,0.000,0.028,0.000,0.000,0.915,0.001,0.016,0.009,0.000,0.028,0.001,0.000,0.000,0.000
TCGA-EA-A44S-01A,0.003,0.000,0.008,0.047,0.003,0.000,0.818,0.029,0.023,0.005,0.001,0.051,0.002,0.009,0.001,0.001
TCGA-EA-A43B-01A,0.013,0.000,0.003,0.043,0.000,0.000,0.846,0.018,0.042,0.013,0.001,0.018,0.002,0.001,0.003,0.000
TCGA-FU-A3HZ-01A,0.000,0.000,0.000,0.018,0.002,0.000,0.922,0.000,0.012,0.023,0.000,0.018,0.005,0.000,0.000,0.000
TCGA-C5-A1MJ-01A,0.000,0.000,0.007,0.010,0.000,0.000,0.773,0.010,0.042,0.086,0.011,0.057,0.003,0.000,0.000,0.000
