"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.SX.A7SQ.01A",0,0,0,0.647725902650256,0.182802806440484,0,0,0,0,0.16947129090926
"TCGA.F9.A8NY.01A",0,0,0,0.748012658805721,0.126184084361952,0,0,0,0,0.125803256832326
"TCGA.2Z.A9JE.01A",0,0.00246453091424352,0,0.779054365236462,0.107157330242397,0,0,0,0,0.111323773606898
"TCGA.IA.A83V.01A",0,0.261256374967823,0,0.357912910818318,0.0833356495529171,0,0,0,0,0.297495064660941
"TCGA.2Z.A9JP.01A",0,0.127943638676218,0,0.729526407085666,0.0677952652779095,0,0,0,0,0.0747346889602058
"TCGA.2Z.A9J5.01A",0,0.221459781249998,0,0.592021477293727,0.0623278062520239,0,0,0,0,0.124190935204251
"TCGA.B9.4617.01A",0,0.0147819238617555,0,0.751072373804498,0.141170162248785,0,0,0,0,0.0929755400849612
"TCGA.A4.7288.01A",0,0,0,0.588983704533006,0.216467838387288,0,0,0,0,0.194548457079706
"TCGA.GL.7773.01A",0,0.00825931895830268,0,0.539729716522325,0.221119147536343,0,0,0,0,0.23089181698303
"TCGA.B1.A47O.01A",0,0.0257810009589818,0,0.734897864024393,0.0846544624246588,0,0,0,0,0.154666672591967
"TCGA.GL.A4EM.01A",0,0.196915528575163,0,0.550597623654094,0.107010760863477,0,0,0,0,0.145476086907267
"TCGA.UZ.A9PZ.01A",0,0,0,0.645093689889388,0.170815896458362,0,0,0,0,0.18409041365225
"TCGA.B9.A5W9.01A",0,0,0,0.661697808249495,0.168089087900029,0,0,0,0,0.170213103850476
"TCGA.DZ.6132.01A",0,0.419591359160111,0,0.167378413243024,0.119379860650275,0,0,0,0,0.293650366946589
"TCGA.A4.7583.01A",0,0.0371418242331405,0,0.559842078952779,0.220790202722207,0,0,0,0,0.182225894091874
"TCGA.UZ.A9PM.01A",0,0.178093578260315,0,0.61135087729769,0.103711244343675,0,0,0,0,0.106844300098321
"TCGA.SX.A71S.01A",0,0.0064473527989047,0,0.458248088624953,0.285411630374708,0,0,0,0,0.249892928201435
"TCGA.G7.7502.01A",0,0.104709080041905,0,0.499117728920545,0.174080718783139,0,0,0,0,0.222092472254411
"TCGA.B3.3925.01A",0,0.053501235970112,0,0.430054117705526,0.286428841022642,0,0,0,0,0.23001580530172
"TCGA.V9.A7HT.01A",0,0.172728422106909,0,0.49768169561664,0.142772096680087,0,0,0,0,0.186817785596365
"TCGA.UZ.A9PU.01A",0,0.00542909712587221,0,0.608284231086464,0.20849998792019,0,0,0,0,0.177786683867474
