"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.RC.A7SB.01A",0,0,0.124048968061541,0,0.348335983347911,0.526737417855344,0.000877630735204344
"TCGA.3K.AAZ8.01A",0,0,0.267876650514748,0,0.462168799794689,0.269954549690564,0
"TCGA.DD.AADA.01A",0,0,0.134304734962593,0,0.510481143830521,0.339719853938609,0.0154942672682775
"TCGA.G3.A25X.01A",0,0,0.30007206959057,0,0.275020682264472,0.326589142227875,0.0983181059170833
"TCGA.EP.A3RK.01A",0,0.00207782648578056,0.616846062830236,0,0.234699134474757,0.146376976209226,0
"TCGA.2Y.A9H5.01A",0,0,0.0306980694040218,0,0.657410846105346,0.198509423654388,0.113381660836244
"TCGA.UB.A7MF.01A",0,0.00466175854653607,0.553238288528504,0,0.221218601261471,0.220881351663489,0
"TCGA.BC.A10R.01A",0,0,0.0254977638438886,0,0.675589892208576,0.198742297542766,0.100170046404769
"TCGA.ED.A459.01A",0,0,0.493113511913325,0,0.30595879817136,0.185640498786494,0.0152871911288207
"TCGA.KR.A7K7.01A",0,0,0.390157949807264,0,0.0808672541541263,0.52897479603861,0
"TCGA.XR.A8TC.01A",0,0,0.0289445532049762,0,0.523598932181056,0.447456514613968,0
"TCGA.G3.A3CG.01A",0,0,0.250861064113633,0,0.61020246610332,0.136999901543338,0.00193656823970923
"TCGA.BC.A112.01A",0,0,0.139738085955147,0,0.445018805380099,0.324861921948663,0.0903811867160913
"TCGA.ED.A4XI.01A",0,0,0.224387911298219,0,0.625907797500531,0.0442434469040642,0.105460844297186
"TCGA.2Y.A9GT.01A",0,0.00392265857851887,0.346328969674697,0,0.639240594212466,0.00102723540544653,0.00948054212887104
"TCGA.DD.AACX.01A",0,0,0.438836404970059,0,0.244707057492507,0.316456537537434,0
"TCGA.DD.A1EB.01A",0,0,0,0,0.79601884758736,0.203981152412641,0
"TCGA.DD.AACE.01A",0,0,0.00285810412424548,0,0.524611921714319,0.472529974161435,0
"TCGA.2Y.A9H9.01A",0,0,0.268749924449657,0,0.481366532506216,0.249883543044127,0
"TCGA.CC.5262.01A",0,0,0.259414217408398,0,0.501989790932113,0.106457669996316,0.132138321663172
"TCGA.G3.AAV2.01A",0,0,0.170623585756627,0,0.520778068695053,0.30859834554832,0
"TCGA.DD.A4NN.01A",0,0,0,0,0.427262541198626,0.530513972832567,0.0422234859688067
"TCGA.DD.AACZ.01A",0,0,0.646345392691012,0,0.0743951405328963,0.279259466776092,0
"TCGA.DD.AAE0.01A",0,0,0,0,0.252065040027694,0.633273436949547,0.114661523022759
"TCGA.YA.A8S7.01A",0,0,0.673707269662524,0,0.119384282443357,0.0841605592662917,0.122747888627827
"TCGA.2Y.A9GY.01A",0,0,0.55291792078175,0,0.0532530824921593,0.393828996726091,0
"TCGA.UB.A7ME.01A",0,0,0.200358155091615,0,0.394081528949568,0.32143192498669,0.0841283909721281
"TCGA.ED.A8O6.01A",0,0,0.0951351115306757,0,0.213378077280521,0.669200476141642,0.022286335047161
"TCGA.ZP.A9D4.01A",0,0,0.110324680276856,0,0.403733651993059,0.485941667730085,0
"TCGA.DD.A1EH.01A",0,0,0.0162390855839318,0,0.650768984333403,0.282494634691846,0.0504972953908192
"TCGA.DD.A11A.01A",0,0,0.0176659578836236,0,0.562026589042423,0.420307453073954,0
"TCGA.RC.A7SF.01A",0,0,0.0606044192873814,0,0.359933735949908,0.548164223192031,0.0312976215706803
"TCGA.HP.A5N0.01A",0,0,0.0694598320108545,0,0.779620521927963,0.0848593375591115,0.066060308502071
"TCGA.DD.A73E.01A",0,0,0.00172362498236742,0,0.527589134902402,0.470687240115231,0
"TCGA.G3.A5SL.01A",0,0,0.0650944199558263,0,0.6568367914005,0.278068788643674,0
"TCGA.2Y.A9H6.01A",0,0,0.158940038513502,0,0.594526026726271,0.165290404012448,0.0812435307477785
"TCGA.WX.AA47.01A",0,0,0.145686089406636,0,0.35729734155117,0.497016569042194,0
"TCGA.MR.A520.01A",0,0,0.143584064973396,0,0.48716437912401,0.369251555902594,0
"TCGA.DD.A3A1.01A",0,0,0.432536159973283,0,0.117928430671575,0.449535409355141,0
"TCGA.DD.AADF.01A",0,0,0.317438487547956,0,0.139886970658724,0.542674541793319,0
"TCGA.G3.A7M7.01A",0,0,0.102593008359043,0,0.423329561393842,0.474077430247114,0
"TCGA.DD.AADQ.01A",0,0,0.448847333225689,0,0.2574687083976,0.293683958376711,0
"TCGA.DD.AAVX.01A",0,0,0.464585590960755,0,0.380466642464524,0.154947766574721,0
"TCGA.MI.A75E.01A",0,0,0.271949499398291,0,0.476715718956247,0.167880334891058,0.083454446754404
"TCGA.GJ.A3OU.01A",0,0,0.622750987641912,0,0.303881437491508,0.014222484874484,0.059145089992096
"TCGA.DD.A11B.01A",0,0,0.00223178024058864,0,0.606291794882256,0.391476424877155,0
"TCGA.LG.A6GG.01A",0,0,0.194159230281263,0,0.425499125800516,0.380341643918221,0
"TCGA.CC.A7IJ.01A",0,0,0.432600950754319,0,0.346821908706469,0.0331709988765642,0.187406141662648
"TCGA.DD.AACA.01A",0,0,0.022820157396396,0,0.557898467747211,0.419281374856393,0
"TCGA.DD.A39V.01A",0,0,0.504643020841892,0.00147637329139645,0.143750052467881,0.35013055339883,0
"TCGA.2Y.A9GS.01A",0,0,0.442144698670369,0,0.254311545911477,0.292785184294705,0.0107585711234497
"TCGA.DD.AACW.01A",0,0,0.151634875592136,0,0.201755246683519,0.646609877724345,0
