gene_name,gene_ids,n_cells,total_counts,n_counts
OLFM2,ENSG00000105088,24411,327.0,164956.53
OLFM3,,416,,2852.4275
OLFM4,,16674,,133580.08
OLFML1,,5771,,36935.285
OLFML2A,,24216,,74884.12
OLFML2B,ENSG00000162745,18643,,130453.37
OLFML3,,27461,31.0,203163.06
OLIG1,,17703,11.0,141658.48
OLIG2,,12828,,94160.01
OLR1,ENSG00000173391,39882,302.0,296490.06
OMA1,ENSG00000162600,37707,319.0,212889.16
OMD,,6375,,44050.113
OMG,,6265,,45001.32
ONECUT1,,3101,,16964.475
ONECUT2,,16865,,111541.96
ONECUT3,,11614,,45705.863
OOEP,,1698,15.0,9822.549
OPA1,ENSG00000198836,61517,346.0,374372.66
OPA3,ENSG00000125741,54703,224.0,266086.2
OPALIN,,168,,1410.0779
OPCML,,3088,,19110.09
OPHN1,,34216,,181002.56
OPLAH,ENSG00000178814,9799,22.0,57065.59
OPN1SW,,449,,1540.3387
OPN3,ENSG00000054277,39591,388.0,248775.5
OPRD1,,9996,,11855.466
OPRK1,,9693,,12776.299
OPRL1,ENSG00000125510,4297,32.0,26876.508
OPRM1,,3535,326.0,14142.573
OPTN,ENSG00000123240,101410,1979.0,687241.6
OR10H1,,133,,783.01294
OR10S1,,177,,496.437
OR11A1,,3186,,5564.588
OR2A7,,257,,1082.9935
OR2B11,,307,,2101.8005
OR2B6,,458,,2748.3796
OR4N2,,604,,4345.0684
OR51E1,,5053,,36640.516
OR51E2,,24188,,128058.42
OR52N4,,146,,667.52277
OR7A5,,2268,,8885.723
OR7D2,,19672,,39861.38
OR7E24,,262,,369.32675
OR8S1,,351,,232.71606
ORAI1,ENSG00000276045,74672,1027.0,467145.56
ORAI2,ENSG00000160991,85472,757.0,511309.78
ORAI3,ENSG00000175938,47257,410.0,304835.38
ORAOV1,ENSG00000149716,33839,162.0,189191.88
ORC1,ENSG00000085840,7349,52.0,38071.34
ORC2,ENSG00000115942,38154,179.0,217832.0
ORC3,ENSG00000135336,47848,294.0,283866.06
ORC4,ENSG00000115947,73731,313.0,452332.72
ORC5,ENSG00000164815,30623,188.0,179735.88
ORC6,ENSG00000091651,48462,200.0,264937.72
ORM1,,7064,,39575.492
ORM2,,5657,,30406.344
ORMDL1,ENSG00000128699,155462,1751.0,1103119.6
ORMDL2,ENSG00000123353,115245,1504.0,781576.56
ORMDL3,ENSG00000172057,53783,850.0,353628.5
OS9,ENSG00000135506,137807,1811.0,974788.06
OSBP,ENSG00000110048,53172,196.0,323428.94
OSBP2,ENSG00000184792,7690,19.0,38847.188
OSBPL10,ENSG00000144645,33261,57.0,158645.47
OSBPL11,ENSG00000144909,43696,220.0,263036.2
OSBPL1A,ENSG00000141447,62119,23.0,392676.34
OSBPL2,ENSG00000130703,59684,231.0,314826.16
OSBPL3,ENSG00000070882,38958,207.0,224215.7
OSBPL5,ENSG00000021762,16262,71.0,98271.3
OSBPL6,,19600,,98377.76
OSBPL7,ENSG00000006025,16368,161.0,101209.9
OSBPL8,ENSG00000091039,134012,1052.0,922537.3
OSBPL9,ENSG00000117859,75758,467.0,475788.44
OSCAR,ENSG00000170909,18225,125.0,121625.37
OSCP1,,15127,11.0,91517.81
OSER1,ENSG00000132823,72978,600.0,480430.2
OSGEP,ENSG00000092094,70937,618.0,439356.97
OSGEPL1,ENSG00000128694,16936,107.0,97254.5
OSGIN1,ENSG00000140961,14528,,87108.43
OSGIN2,ENSG00000164823,38887,236.0,235799.97
OSM,ENSG00000099985,22423,235.0,161783.31
OSMR,,41891,,205721.2
OSR1,,3082,,18775.705
OSR2,,13511,,88587.42
OST4,ENSG00000228474,291174,10652.0,2629434.8
OSTC,ENSG00000198856,180628,2393.0,1345748.8
OSTF1,ENSG00000134996,128445,3846.0,940796.0
OSTM1,ENSG00000081087,69081,598.0,433606.0
OTC,,1259,,4260.204
OTOA,ENSG00000155719,14914,16.0,70773.17
OTOF,,686,12.0,3448.6816
OTOG,,3444,,1920.7349
OTOGL,,254,,1344.9038
OTOP3,,108,,617.66473
OTOS,,275,,1899.6594
OTP,,1249,,7395.35
OTUB1,ENSG00000167770,125155,1711.0,844900.06
OTUB2,,5884,54.0,33405.688
OTUD1,ENSG00000165312,44744,681.0,299684.72
OTUD3,ENSG00000169914,30211,42.0,113662.89
OTUD4,ENSG00000164164,54028,332.0,314994.8
OTUD5,ENSG00000068308,64718,784.0,407723.66
OTUD6A,,14240,,26034.65
OTUD6B,ENSG00000155100,35853,177.0,216951.86
OTUD7A,ENSG00000169918,2205,23.0,12685.533
OTUD7B,ENSG00000264522,42716,167.0,219594.38
OTULIN,ENSG00000154124,39593,975.0,237425.98
OTX1,,4945,,29664.617
OTX2,,328,,1997.6168
OVCA2,,9833,,52643.05
OVCH1,,168,,769.59015
OVGP1,,2632,,13975.951
OVOL1,,9405,,59781.2
OVOL2,,7647,,46825.375
OVOL3,,421,,1967.6572
OXA1L,ENSG00000155463,121754,1332.0,813715.75
OXCT1,ENSG00000083720,50901,517.0,307636.5
OXCT2,,2236,17.0,12306.182
OXER1,,1746,,10126.587
OXGR1,,435,,2661.5615
OXLD1,ENSG00000204237,87835,819.0,594520.0
OXNAD1,ENSG00000154814,52746,1324.0,341850.22
OXR1,ENSG00000164830,72561,213.0,462154.62
OXSM,ENSG00000151093,22751,83.0,135192.66
OXSR1,ENSG00000172939,54211,339.0,331958.34
OXT,ENSG00000101405,2098,,12666.96
OXTR,,5032,,32789.46
P2RX1,ENSG00000108405,6160,33.0,41468.266
P2RX3,,4786,,7380.496
P2RX4,ENSG00000135124,62518,500.0,375366.0
P2RX5,ENSG00000083454,20926,291.0,115073.41
P2RX5-TAX1BP3,ENSG00000257950,25082,22.0,70651.08
P2RX6,,3468,,10276.698
P2RX7,ENSG00000089041,30432,136.0,139311.66
P2RY1,ENSG00000169860,11292,17.0,70232.336
P2RY10,ENSG00000078589,28033,733.0,187186.98
P2RY11,ENSG00000244165,23487,459.0,137699.55
P2RY12,,6475,,48277.395
P2RY13,ENSG00000181631,20581,127.0,144387.0
P2RY14,ENSG00000174944,8256,115.0,46452.39
P2RY2,ENSG00000175591,6774,22.0,39393.59
P2RY6,ENSG00000171631,10761,282.0,65635.99
P2RY8,ENSG00000182162,20254,311.0,125877.18
P3H1,ENSG00000117385,23699,253.0,111304.32
P3H2,ENSG00000090530,11531,33.0,60612.37
P3H3,,4326,,24245.385
P3H4,ENSG00000141696,26409,48.0,129506.86
P4HA1,ENSG00000122884,88322,430.0,582856.7
P4HA2,ENSG00000072682,37874,82.0,242511.6
P4HA3,,11639,32.0,46489.598
P4HB,ENSG00000185624,214310,4322.0,1725071.8
P4HTM,ENSG00000178467,66345,509.0,440968.34
PA2G4,ENSG00000170515,191622,4242.0,1464933.0
PAAF1,ENSG00000175575,48039,270.0,266734.88
PABPC1,ENSG00000070756,298657,15985.0,2759945.0
PABPC1L,ENSG00000101104,21991,116.0,112097.055
PABPC1L2A,,254,,1532.5723
PABPC1L2B,,391,,2553.6077
PABPC3,ENSG00000151846,19031,23.0,76265.68
PABPC4,ENSG00000090621,135914,1161.0,945269.8
PABPC4L,,1552,,9586.61
PABPC5,,2554,,17146.133
PABPN1,ENSG00000100836,123638,1208.0,844486.56
PABPN1L,,104,,566.7971
PACRG,,5605,,34723.484
PACRGL,ENSG00000163138,23967,68.0,143848.95
PACS1,ENSG00000175115,63716,515.0,380752.94
PACS2,ENSG00000179364,54266,141.0,263605.25
PACSIN1,ENSG00000124507,1886,94.0,12527.182
PACSIN2,ENSG00000100266,73409,625.0,471172.3
PACSIN3,,35668,,226959.25
PADI1,,2597,,17117.945
PADI2,ENSG00000117115,17867,17.0,120323.71
PADI3,,391,,2280.3994
PADI4,ENSG00000159339,9079,60.0,34151.527
PAEP,,4372,,16182.81
PAF1,ENSG00000006712,68460,495.0,429451.94
PAFAH1B1,ENSG00000007168,124865,1161.0,839641.25
PAFAH1B2,ENSG00000168092,116274,624.0,763294.9
PAFAH1B3,ENSG00000079462,103538,800.0,729696.2
PAFAH2,ENSG00000158006,33296,118.0,146342.61
PAG1,ENSG00000076641,83386,1645.0,521892.0
PAGE1,,807,,2191.2957
PAGE2B,,126,,556.6705
PAGE4,,225,,1177.9291
PAGE5,ENSG00000158639,1063,13.0,5032.8296
PAGR1,ENSG00000280789,23009,85.0,131889.42
PAH,,3379,,13933.937
PAICS,ENSG00000128050,98734,482.0,629725.2
PAIP1,ENSG00000172239,116212,740.0,780800.5
PAIP2,ENSG00000120727,194960,3495.0,1486880.4
PAIP2B,ENSG00000124374,21938,31.0,129572.27
PAK1,ENSG00000149269,67960,573.0,434290.4
PAK1IP1,ENSG00000111845,63528,331.0,393327.72
PAK2,ENSG00000180370,160026,1805.0,1123953.0
PAK3,ENSG00000077264,17214,,67311.05
PAK4,ENSG00000130669,53889,138.0,295125.22
PAK6,,10037,,49060.78
PAK7,,1276,,7935.8115
PALB2,ENSG00000083093,21088,56.0,109264.5
PALD1,ENSG00000107719,17545,142.0,120784.47
PALLD,ENSG00000129116,65761,57.0,444023.16
PALM,,16364,,89129.15
PALM2,,9219,,26134.797
PALM2-AKAP2,,11938,,53156.54
PALM3,,4448,,28140.73
PALMD,,13162,,89401.164
PAM,ENSG00000145730,61689,296.0,401600.88
PAM16,ENSG00000217930,23962,36.0,144042.6
PAMR1,,3277,,21788.482
PAN2,ENSG00000135473,27303,74.0,134449.78
PAN3,ENSG00000152520,63133,496.0,382967.7
PANK1,,19947,14.0,51210.105
PANK2,ENSG00000125779,71058,691.0,430481.44
PANK3,ENSG00000120137,61657,191.0,364304.56
PANK4,ENSG00000157881,17695,249.0,106486.484
PANO1,ENSG00000274897,5193,29.0,16963.057
PANX1,ENSG00000110218,23351,115.0,138892.94
PANX2,,4680,,29403.078
PAOX,ENSG00000148832,15122,234.0,96709.555
PAPD4,ENSG00000164329,52871,528.0,323658.2
PAPD5,ENSG00000121274,43707,198.0,239425.67
PAPD7,ENSG00000112941,24026,124.0,136146.45
PAPL,,2162,,2652.0996
PAPLN,ENSG00000100767,24010,,68944.5
PAPOLA,ENSG00000090060,193918,2657.0,1420607.5
PAPOLB,,1211,,1062.8557
PAPOLG,ENSG00000115421,43010,176.0,209973.72
PAPPA,,5569,,34535.79
PAPPA2,,709,,3663.676
PAPSS1,ENSG00000138801,76830,501.0,510669.06
PAPSS2,ENSG00000198682,24843,22.0,150799.44
PAQR3,ENSG00000163291,22027,100.0,125188.734
PAQR4,ENSG00000162073,33021,402.0,207012.78
PAQR5,,9078,,48588.89
PAQR6,ENSG00000160781,10147,44.0,65808.195
PAQR7,ENSG00000182749,29105,25.0,125604.516
PAQR8,ENSG00000170915,25819,155.0,153367.12
PAQR9,,1087,,3226.5864
PARD3,,34363,16.0,206279.4
PARD3B,,11972,,70489.13
PARD6A,ENSG00000102981,24911,254.0,157074.25
PARD6B,ENSG00000124171,48420,27.0,237406.02
PARD6G,ENSG00000178184,26510,126.0,93784.22
PARG,ENSG00000227345,24979,156.0,141509.75
PARK2,ENSG00000185345,18252,,35404.9
PARK7,ENSG00000116288,251276,8767.0,2128568.5
PARL,ENSG00000175193,108175,1022.0,725495.3
PARM1,ENSG00000169116,20496,66.0,125958.64
PARN,ENSG00000140694,53502,378.0,319419.6
PARP1,ENSG00000143799,151586,2187.0,1097543.5
PARP10,ENSG00000178685,45968,1131.0,313307.25
PARP11,ENSG00000111224,33480,269.0,162792.81
PARP12,ENSG00000059378,44757,706.0,283023.28
PARP14,ENSG00000173193,104556,1244.0,686016.06
PARP15,ENSG00000173200,22370,235.0,116201.77
PARP16,ENSG00000138617,18621,197.0,110317.76
PARP2,ENSG00000129484,32527,140.0,197019.42
PARP3,ENSG00000041880,18024,137.0,107914.13
PARP4,ENSG00000102699,58327,310.0,357076.3
PARP6,ENSG00000137817,40358,204.0,211033.39
PARP8,ENSG00000151883,58674,685.0,387412.47
PARP9,ENSG00000138496,77570,1316.0,496034.06
PARPBP,ENSG00000185480,21028,97.0,111200.04
PARS2,,6078,21.0,35572.016
PARVA,,53134,,286242.94
PARVB,ENSG00000188677,62593,568.0,366442.47
PARVG,ENSG00000138964,56217,1368.0,384290.1
PASK,ENSG00000115687,26757,509.0,153019.14
PATE2,,1718,,5355.3516
PATE4,,3932,,7901.8833
PATL1,ENSG00000166889,45125,248.0,270424.72
PATL2,ENSG00000229474,15367,364.0,93934.016
PATZ1,ENSG00000100105,33994,193.0,207692.9
PAWR,ENSG00000177425,76145,37.0,481371.94
PAX1,,100,,569.32605
PAX2,,412,,2537.2026
PAX3,,1203,,7453.165
PAX5,ENSG00000196092,4500,29.0,27173.588
PAX6,,6667,,38546.438
PAX7,,574,,3258.9087
PAX8,ENSG00000125618,9982,10.0,60601.152
PAX9,,3087,,18186.258
PAXBP1,ENSG00000159086,57738,266.0,358666.9
PAXIP1,ENSG00000157212,29416,92.0,134532.31
PBDC1,ENSG00000102390,91812,943.0,600114.2
PBK,ENSG00000168078,26109,142.0,168980.06
PBLD,ENSG00000108187,24250,24.0,98469.94
PBOV1,,4763,,7430.8223
PBRM1,ENSG00000163939,93569,861.0,583147.44
PBX1,ENSG00000185630,63904,13.0,396654.16
PBX2,ENSG00000204304,42496,314.0,273434.62
PBX3,ENSG00000167081,40489,205.0,252612.38
PBX4,ENSG00000105717,19484,241.0,117697.375
PBXIP1,ENSG00000163346,83512,2101.0,580435.2
PC,ENSG00000173599,13460,17.0,77594.78
PCBD1,ENSG00000166228,137694,726.0,1018920.44
PCBD2,ENSG00000132570,52443,283.0,268019.88
PCBP1,ENSG00000169564,234486,5263.0,1837730.1
PCBP2,ENSG00000197111,245454,5794.0,1970033.6
PCBP3,ENSG00000183570,4584,53.0,29790.852
PCBP4,ENSG00000090097,41972,241.0,274855.62
PCCA,ENSG00000175198,35077,99.0,189785.95
PCCB,ENSG00000114054,48180,247.0,277194.4
PCDH1,,22054,,143275.8
PCDH10,,9829,,65442.68
PCDH11X,,21250,,48128.926
PCDH11Y,,20258,,41634.1
PCDH12,,4904,,31072.281
PCDH15,,3217,,21838.1
PCDH17,,22415,,159059.83
PCDH18,,6450,,41877.746
PCDH19,,6689,,39383.734
PCDH20,,1703,,10639.076
PCDH7,,15310,,101221.99
PCDH8,,2430,,15805.855
PCDH9,,37630,,219652.94
PCDHA1,,237,,1301.7942
PCDHA10,,11210,,20297.045
PCDHA11,,681,,3726.82
PCDHA12,,2362,,14090.48
PCDHA13,,492,,2647.8403
PCDHA2,,577,,3564.4673
PCDHA3,,1099,,6203.806
PCDHA4,,9535,,18140.611
PCDHA5,,796,,3480.2922
PCDHA6,,884,,5240.982
PCDHA7,,417,,2198.447
PCDHA8,,363,,1674.4939
PCDHA9,,19405,,30513.852
PCDHAC1,,565,,3008.296
PCDHAC2,,637,,3731.5566
PCDHB1,,10095,,9802.86
PCDHB10,,8112,,50370.637
PCDHB11,,8005,,20106.775
PCDHB12,,3774,,21571.828
PCDHB13,,8315,,23928.643
PCDHB14,,8477,,51898.184
PCDHB15,,2822,,16469.596
PCDHB16,,13082,,76357.14
PCDHB2,,15111,,57512.54
PCDHB3,,4816,,28946.584
PCDHB4,,4706,,28965.389
PCDHB5,,4315,,25770.51
PCDHB6,,1690,,8447.442
PCDHB7,,5339,,33348.08
PCDHB8,,2173,,11918.415
PCDHB9,,16691,,45749.03
PCDHGA1,,2424,,13580.274
PCDHGA10,,7361,,41141.723
PCDHGA11,,1710,,8470.037
PCDHGA12,,2105,,11659.044
PCDHGA2,,1698,,8721.247
PCDHGA3,,1468,,7408.904
PCDHGA4,,1379,,6941.023
PCDHGA5,,12011,,26066.941
PCDHGA6,,13779,,37364.207
PCDHGA7,,2218,,11864.415
PCDHGA8,,10515,,20442.465
PCDHGA9,,3138,,18961.092
PCDHGB1,,1326,,6449.5767
PCDHGB2,,3572,,21999.016
PCDHGB3,,1213,,5735.8975
PCDHGB4,,1305,,5522.1216
PCDHGB5,,532,,2147.7651
PCDHGB6,,7967,,30275.78
PCDHGB7,,4079,,23223.422
PCDHGC3,,13712,,101693.43
PCDHGC4,,2916,,17998.67
PCDHGC5,,2212,,11252.5625
PCED1A,ENSG00000132635,36190,122.0,227635.78
PCED1B,ENSG00000179715,32048,891.0,211221.1
PCF11,ENSG00000165494,96197,1099.0,621178.94
PCGF1,ENSG00000115289,37494,156.0,214141.72
PCGF2,,47568,,304132.25
PCGF3,ENSG00000185619,51964,212.0,309587.97
PCGF5,ENSG00000180628,93901,1000.0,567582.06
PCGF6,ENSG00000156374,28121,214.0,168966.95
PCID2,ENSG00000126226,71337,727.0,455763.28
PCIF1,ENSG00000100982,50828,663.0,315931.78
PCK1,,3475,,14720.741
PCK2,ENSG00000100889,28996,384.0,173749.66
PCLO,,10293,,64956.363
PCM1,ENSG00000078674,130366,1055.0,876410.8
PCMT1,ENSG00000120265,143629,1924.0,1018655.7
PCMTD1,ENSG00000168300,99742,530.0,654096.44
PCMTD2,ENSG00000203880,61223,265.0,385514.6
PCNA,ENSG00000132646,92127,2299.0,623714.5
PCNP,ENSG00000081154,173716,2388.0,1258657.0
PCNT,ENSG00000160299,34794,164.0,190455.05
PCNX,ENSG00000100731,32335,437.0,214427.78
PCNXL2,ENSG00000135749,17860,212.0,111645.0
PCNXL3,ENSG00000197136,15567,100.0,92718.695
PCNXL4,ENSG00000126773,30957,360.0,207849.62
PCOLCE,ENSG00000106333,35990,63.0,268403.88
PCOLCE2,,10350,,66551.1
PCP2,,2634,12.0,15485.887
PCP4,,3306,,24742.43
PCP4L1,,1904,,10839.728
PCSK1,,3798,,24867.193
PCSK1N,ENSG00000102109,59601,884.0,467511.97
PCSK2,,3090,,11149.774
PCSK4,,3596,14.0,21257.18
PCSK5,ENSG00000099139,24216,14.0,116672.2
PCSK6,,14284,,44845.434
PCSK7,ENSG00000160613,118976,3457.0,819055.0
PCSK9,,2276,,10109.459
PCTP,ENSG00000141179,27655,196.0,166319.34
PCYOX1,ENSG00000116005,76512,121.0,437227.03
PCYOX1L,ENSG00000145882,16568,135.0,98159.62
PCYT1A,ENSG00000161217,64740,449.0,380023.2
PCYT1B,,12131,,22652.516
PCYT2,ENSG00000185813,45879,311.0,289238.9
PDAP1,ENSG00000106244,174150,2108.0,1275898.2
PDC,,212,,1203.4773
PDCD1,ENSG00000188389,19780,1284.0,138889.16
PDCD10,ENSG00000114209,128788,1668.0,889672.06
PDCD11,ENSG00000148843,46265,274.0,269146.78
PDCD1LG2,ENSG00000197646,6493,39.0,38064.87
PDCD2,ENSG00000071994,113002,1495.0,781150.1
PDCD2L,ENSG00000126249,29658,148.0,181224.2
PDCD4,ENSG00000150593,122623,1990.0,907622.06
PDCD5,ENSG00000105185,171815,1897.0,1327921.9
PDCD6,ENSG00000249915,180785,2443.0,1349851.2
PDCD6IP,ENSG00000170248,105829,821.0,701848.5
PDCD7,ENSG00000090470,87422,918.0,532423.94
PDCL,ENSG00000136940,59672,390.0,356022.78
PDCL3,ENSG00000115539,93625,1206.0,627375.5
PDDC1,ENSG00000177225,41516,197.0,197078.72
PDE10A,,5516,,34542.527
PDE11A,,20784,,47723.492
PDE12,ENSG00000174840,54636,320.0,279674.6
PDE1A,,8031,,54372.523
PDE1B,ENSG00000123360,8492,49.0,40737.633
PDE1C,,4873,,31719.523
PDE2A,,6072,,38574.18
PDE3A,,7567,,48219.215
PDE3B,ENSG00000152270,43329,727.0,255547.36
PDE4A,ENSG00000065989,35354,324.0,212145.4
PDE4B,ENSG00000184588,81861,899.0,588861.56
PDE4C,,39959,11.0,180252.56
PDE4D,ENSG00000113448,56030,1209.0,348761.03
PDE4DIP,ENSG00000178104,75335,433.0,460848.62
PDE5A,,12412,,72799.66
PDE6A,ENSG00000132915,22338,17.0,49930.46
PDE6B,ENSG00000133256,21072,196.0,76192.945
PDE6D,ENSG00000156973,52195,413.0,320527.28
PDE6G,ENSG00000185527,3944,17.0,21844.332
PDE6H,,165,,1120.199
PDE7A,ENSG00000205268,61719,722.0,361302.3
PDE7B,ENSG00000171408,16382,130.0,55840.082
PDE8A,ENSG00000073417,33515,57.0,195473.78
PDE8B,,10975,,60865.227
PDE9A,ENSG00000160191,20718,59.0,130173.24
PDF,,2166,,11204.928
PDGFA,ENSG00000197461,53355,71.0,332119.25
PDGFB,ENSG00000100311,23045,25.0,157785.6
PDGFC,ENSG00000145431,33618,,204515.78
PDGFD,,14493,28.0,94669.54
PDGFRA,,24049,,176294.67
PDGFRB,ENSG00000113721,22350,22.0,173933.16
PDGFRL,,8893,,61245.535
PDHA1,ENSG00000131828,92326,741.0,588899.0
PDHA2,,301,,279.01767
PDHB,ENSG00000168291,100249,1270.0,660341.8
PDHX,ENSG00000110435,53410,265.0,309809.6
PDIA2,,2223,,14682.449
PDIA3,ENSG00000167004,220972,5560.0,1776239.0
PDIA4,ENSG00000155660,144611,1418.0,1030373.75
PDIA5,ENSG00000065485,37644,42.0,198430.84
PDIA6,ENSG00000143870,204080,3928.0,1588179.8
PDIK1L,ENSG00000175087,18092,50.0,108961.086
PDILT,,2359,,4643.338
PDK1,ENSG00000152256,38657,220.0,215426.6
PDK2,ENSG00000005882,40701,329.0,255632.36
PDK3,ENSG00000067992,37026,240.0,189608.19
PDK4,ENSG00000004799,47083,14.0,330863.44
PDLIM1,ENSG00000107438,93159,281.0,694687.8
PDLIM2,ENSG00000120913,100395,1399.0,693147.25
PDLIM3,,35117,,199174.44
PDLIM4,ENSG00000131435,52217,806.0,372906.22
PDLIM5,ENSG00000163110,128189,338.0,937770.8
PDLIM7,ENSG00000196923,83825,1014.0,593076.3
PDP1,ENSG00000164951,42013,134.0,247884.11
PDP2,ENSG00000172840,29404,46.0,98378.48
PDPK1,ENSG00000140992,71379,334.0,433309.12
PDPN,,39234,,266720.3
PDPR,ENSG00000090857,36425,93.0,180794.92
PDRG1,ENSG00000088356,60867,395.0,385897.2
PDS5A,ENSG00000121892,90167,657.0,555158.06
PDS5B,ENSG00000083642,72942,440.0,438443.34
PDSS1,ENSG00000148459,18711,139.0,111226.34
PDSS2,ENSG00000164494,43483,232.0,211353.06
PDX1,,2594,,16671.494
PDXDC1,ENSG00000179889,87073,546.0,559469.94
PDXK,ENSG00000160209,118608,845.0,777486.5
PDXP,,3742,,19940.043
PDZD11,ENSG00000120509,97978,641.0,648455.56
PDZD2,,21826,,87942.28
PDZD3,,1759,,11197.362
PDZD4,,7099,,41488.418
PDZD7,,10871,21.0,32392.95
PDZD8,ENSG00000165650,52670,213.0,293505.0
PDZD9,,166,,588.8833
PDZK1,,4967,,23563.418
PDZK1IP1,,31019,,248589.61
PDZRN3,,12037,,77972.25
PDZRN4,,1907,,12533.969
PEA15,ENSG00000162734,111754,1010.0,764867.3
PEAK1,ENSG00000173517,45466,71.0,237906.0
PEAR1,,5930,,38122.23
PEBP1,ENSG00000089220,236313,3677.0,1976639.2
PEBP4,ENSG00000134020,5856,13.0,40973.883
PECAM1,ENSG00000261371,33527,674.0,193101.14
PECR,ENSG00000115425,31057,220.0,160075.11
PEF1,ENSG00000162517,93688,1016.0,613663.0
PEG10,,41981,,301660.78
PEG3,,8862,,57091.94
PELI1,ENSG00000197329,68862,667.0,453354.7
PELI2,ENSG00000139946,18453,26.0,108487.125
PELI3,ENSG00000174516,10515,36.0,62785.297
PELO,ENSG00000152684,55527,414.0,343358.9
PELP1,ENSG00000141456,48862,337.0,274488.75
PEMT,ENSG00000133027,60471,184.0,384951.9
PENK,,2041,,15317.29
PEPD,ENSG00000124299,91069,844.0,605892.1
PER1,ENSG00000179094,67209,589.0,428449.78
PER2,ENSG00000132326,44492,120.0,212155.81
PER3,ENSG00000049246,26759,80.0,157788.0
PERM1,,1604,,9792.508
PERP,ENSG00000112378,106346,587.0,801126.8
PES1,ENSG00000100029,56703,526.0,357813.2
PET100,ENSG00000229833,186252,4164.0,1416397.5
PET117,ENSG00000232838,51832,328.0,324988.8
PEX1,ENSG00000127980,37488,145.0,201212.62
PEX10,ENSG00000157911,46874,225.0,299332.34
PEX11A,,24618,18.0,118891.3
PEX11B,ENSG00000131779,43002,242.0,258170.69
PEX11G,ENSG00000104883,12694,25.0,77897.53
PEX12,,9431,19.0,54092.33
PEX13,ENSG00000162928,66590,172.0,354586.6
PEX14,ENSG00000142655,28831,347.0,173575.17
PEX16,ENSG00000121680,72215,902.0,461711.66
PEX19,ENSG00000162735,51060,348.0,310805.47
PEX2,ENSG00000164751,88905,703.0,545618.6
PEX26,ENSG00000215193,57752,226.0,302643.78
PEX3,ENSG00000034693,32136,236.0,189228.25
PEX5,ENSG00000139197,21530,127.0,131881.77
PEX5L,,11924,,12347.709
PEX6,ENSG00000124587,21668,115.0,134256.45
PEX7,ENSG00000112357,25144,117.0,155995.02
PF4,,1473,,9389.886
PF4V1,,221,,1377.559
PFAS,ENSG00000178921,28282,65.0,109704.125
PFDN1,ENSG00000113068,132681,1259.0,918826.75
PFDN2,ENSG00000143256,185376,2122.0,1414634.8
PFDN4,ENSG00000101132,129490,1396.0,902111.56
PFDN5,ENSG00000123349,316071,16275.0,3016807.2
PFDN6,ENSG00000204220,105414,1132.0,734285.8
PFKFB1,,205,,551.6771
PFKFB2,ENSG00000123836,23046,66.0,132909.11
PFKFB3,ENSG00000170525,64851,1062.0,430716.16
PFKFB4,,11469,24.0,71576.39
PFKL,ENSG00000141959,109280,1310.0,709393.1
PFKM,ENSG00000152556,40921,48.0,229458.77
PFKP,ENSG00000067057,74240,1326.0,488825.53
PFN1,ENSG00000108518,313464,51949.0,3126610.2
PFN2,ENSG00000070087,77250,17.0,561732.5
PFN4,,2108,,12249.758
PGA3,,2859,,4959.0913
PGA4,,643,,2050.4417
PGA5,,463,,1509.5524
PGAM1,ENSG00000171314,196640,9016.0,1514804.8
PGAM2,,5499,,34754.168
PGAM4,,7576,,33033.312
PGAM5,ENSG00000247077,46618,131.0,219028.75
PGAP1,ENSG00000197121,37800,136.0,196719.97
PGAP2,ENSG00000148985,37813,231.0,225494.19
PGAP3,ENSG00000161395,18565,66.0,110934.18
PGBD1,ENSG00000137338,13152,35.0,74195.07
PGBD2,ENSG00000185220,14934,83.0,85995.31
PGBD3,,754,,3974.3816
PGBD4,ENSG00000182405,17091,39.0,57271.883
PGBD5,,10233,,32642.344
PGC,,10338,,78882.65
PGD,ENSG00000142657,87199,572.0,583752.7
PGF,,26252,,135735.95
PGGT1B,ENSG00000164219,51854,384.0,301622.16
PGK1,ENSG00000102144,231400,11124.0,1893429.6
PGK2,,3332,,3208.5388
PGLS,ENSG00000130313,164643,2445.0,1211120.9
PGLYRP1,,617,,5353.036
PGLYRP2,ENSG00000161031,4693,201.0,28629.777
PGLYRP4,,139,,803.08044
PGM1,ENSG00000079739,66078,569.0,420186.7
PGM2,ENSG00000169299,46059,387.0,284214.7
PGM2L1,ENSG00000165434,76563,688.0,447311.5
PGM3,ENSG00000013375,54731,91.0,336761.56
PGM5,,7751,,51099.316
PGP,ENSG00000184207,88417,764.0,619685.0
PGPEP1,ENSG00000130517,55726,285.0,275380.94
PGR,,1264,,7964.711
PGRMC1,ENSG00000101856,114765,449.0,800154.44
PGRMC2,ENSG00000164040,80768,483.0,521378.75
PGS1,ENSG00000087157,42711,328.0,254032.22
PHACTR1,ENSG00000112137,48258,555.0,325491.38
PHACTR2,ENSG00000112419,83394,722.0,514592.97
PHACTR3,,9738,,65941.23
PHACTR4,ENSG00000204138,93450,386.0,555286.25
PHAX,ENSG00000164902,102808,602.0,638044.4
PHB,ENSG00000167085,169305,2016.0,1271546.2
PHB2,ENSG00000215021,163376,2309.0,1192330.9
PHC1,ENSG00000111752,34345,104.0,183343.38
PHC2,ENSG00000134686,80417,196.0,537261.9
PHC3,ENSG00000173889,76401,483.0,440410.47
PHEX,ENSG00000102174,4900,116.0,26676.074
