,PC1,PC2
s_segment_0_3319,-35.52971007131705,45.66031490959693
s_segment_0_3358,-48.74736232542218,3.305141468862779
s_segment_0_3404,-26.199957465475034,-33.98053421618085
s_segment_0_3438,-32.95008874777367,-23.973648503104247
s_segment_0_3444,-37.785162740961226,37.920882058017575
s_segment_0_3459,-31.828044542202246,-28.705411269009286
s_segment_0_3470,-13.455251248957637,-27.91675095257659
s_segment_0_3514,-46.38956281360396,5.726820868787108
s_segment_0_3522,-43.97691234076091,25.705608953444706
s_segment_0_3530,-44.212279450408,21.526159627823922
s_segment_0_3582,-36.15383226971509,52.711404136780544
s_segment_0_3598,-42.57269826113073,17.34495516074727
s_segment_0_3607,-35.235892504600535,-21.359389970127467
s_segment_0_3630,-42.430683619387636,13.759643948309627
s_segment_0_3639,-42.99230471872036,41.561409233023625
s_segment_0_3657,-42.75252571706636,-14.311018457541504
s_segment_0_3680,-31.801636559328298,-9.316487404964944
s_segment_0_3692,-45.479643400851174,-6.525387163967113
s_segment_0_3696,-26.54303648521509,-10.311256312659719
s_segment_0_3718,-25.29816491828009,-0.28891042071964296
s_segment_0_3739,-26.40226545629237,-16.230380088957137
s_segment_0_3752,-21.400625498075176,-41.73600269972307
s_segment_0_3769,-37.68790104961449,-2.0540920204686617
s_segment_0_3776,-36.50940221613065,1.1652843487497127
s_segment_0_3785,-46.78768308374417,-7.155704124194419
s_segment_0_3792,-35.171427581140186,-20.417385094514522
s_segment_0_3808,-37.65466465859371,-2.681825852263727
s_segment_0_3819,-43.6513741820136,6.752956332638006
s_segment_0_3858,-20.244250669094622,-17.513875404520498
s_segment_0_3863,-25.684858853629596,-25.497040199698475
s_segment_0_3869,-42.76253537931229,44.87142951584487
s_segment_0_3882,-27.213549403306423,-15.077432498820187
s_segment_0_3926,-16.368364612903783,-24.425280607252606
s_segment_0_3950,-38.953876665805296,-16.695971830187926
s_segment_0_3951,-39.226933733727826,3.489010089437004
s_segment_0_3963,-30.582960011531377,-31.6753962447899
s_segment_0_3970,-43.24295443098726,-5.435465363714898
s_segment_0_3982,-26.670084286927473,-13.051602413013326
s_segment_0_402,-15.836492552704469,2.2947533503786093
s_segment_0_404,-27.853970322705475,6.373829468510227
s_segment_0_4076,-42.93892466435986,4.4941948555375975
s_segment_0_4084,-11.661989500395558,-17.588650346855115
s_segment_0_4097,-11.426825917415067,-31.529952308184388
s_segment_0_4131,-40.428521841656476,51.23530305621567
s_segment_0_4132,-31.91353056237046,-17.248631744716338
s_segment_0_417,-46.106098538267645,-13.005629071323975
s_segment_0_4175,-31.453801458681475,-6.462864466119736
s_segment_0_418,-28.096032212847714,-20.962092138801395
s_segment_0_4212,-38.84118546317598,20.444431827528938
s_segment_0_4248,-19.81560501098906,-42.099572898136174
s_segment_0_4252,-18.072447275917046,11.571771385303688
s_segment_0_4274,-42.84808121231689,6.629810344551884
s_segment_0_4293,-41.06788166001007,29.99868310626628
s_segment_0_4301,-43.9357359925344,7.360503563102631
s_segment_0_4329,-20.038166323490103,-31.817769948096046
s_segment_0_4336,-22.69345670221805,7.72850887557424
s_segment_0_4348,-19.28197090184868,-42.57385845449565
s_segment_0_4372,-20.225397509165514,-14.836335723217157
s_segment_0_4379,-33.63736680780779,50.47632534758285
s_segment_0_4394,-26.806291440184076,-26.412342228531305
s_segment_0_443,-42.1341209577895,-16.69324449892903
s_segment_0_4439,-31.029056522245718,-27.4667729726633
s_segment_0_4480,-49.74547871938741,-2.2691623071475626
s_segment_0_4483,-26.544739493982615,-38.93299303570965
s_segment_0_4494,-36.895836597419105,-25.53041450088724
s_segment_0_4540,-37.03378763061686,47.73503108701468
s_segment_0_4569,-28.118902287665318,-17.84977762296712
s_segment_0_4572,-48.42712048249772,41.35884254738512
s_segment_0_460,-42.57424143285067,8.825172663450774
s_segment_0_4627,-15.83424030926481,-1.548847145783669
s_segment_0_4645,-16.512745415282495,-13.153944294385473
s_segment_0_4648,-18.824630339049097,-33.588574221831834
s_segment_0_4655,-46.10336678271235,-13.407021907649405
s_segment_0_4663,-10.826790094602423,-23.721596385887686
s_segment_0_4678,-46.32437613000178,-8.52055625461167
s_segment_0_4697,-34.92366994924835,-24.555731011208195
s_segment_0_4717,-27.863142730195918,-5.877265770771537
s_segment_0_4722,-30.670699788915066,24.770782637725123
s_segment_0_473,-28.011790077116604,-21.87951200354914
s_segment_0_4744,-42.98850936543581,39.57113750175865
s_segment_0_4780,-17.21211860014588,-30.117540294999102
s_segment_0_4795,-22.83382397225908,-4.10872411185222
s_segment_0_4800,-30.660294742837053,-26.902094666329024
s_segment_0_4832,-34.3823968935458,-19.304715771830086
s_segment_0_4872,-23.240417053953706,-36.109385084454516
s_segment_0_491,-32.50371814467968,36.57408457565978
s_segment_0_4920,-13.914693223262681,-22.48822395919004
s_segment_0_4930,-23.395718196412453,26.165300635243025
s_segment_0_4940,-29.759948330278544,-19.57746433586141
s_segment_0_4953,-17.34606751311152,-10.157939200387254
s_segment_0_4954,-22.603961964105967,-6.101361271845968
s_segment_0_4979,-25.65151855760199,-18.666135045444722
s_segment_0_4993,-41.83069687194697,5.8933367606719465
s_segment_0_533,-24.232239691108862,-35.55523759890357
s_segment_0_550,-33.47946645281672,-14.195680449550489
s_segment_0_551,-49.45004359908756,18.932533969351596
s_segment_0_635,-19.381292878494932,-23.45515024354196
s_segment_0_64,-33.88977755494848,18.557959419777458
s_segment_0_643,-38.167626191111914,27.182255195875776
s_segment_0_656,-36.89393268621339,36.11010713643003
s_segment_0_671,-37.91955712070783,48.604795313577284
s_segment_0_703,-27.94620857778914,25.261774592867067
s_segment_0_704,-39.44705399024177,-16.347126560237307
s_segment_0_707,-37.2839262700638,4.010988318534107
s_segment_0_741,-29.93303080022995,-6.306685781968221
s_segment_0_749,-26.023506007207907,-25.37968101158105
s_segment_0_762,-35.56557438637006,-11.590843189354462
s_segment_0_779,-8.570407947688466,-33.97806078153853
s_segment_0_797,-40.06532489547597,33.16912577863638
s_segment_0_8,-46.02551909757705,-3.5719012807344845
s_segment_0_818,-36.1497715716955,0.18591480268581073
s_segment_0_837,-34.30621592586598,-0.3673004584036295
s_segment_0_852,-21.59930252936654,-10.640301706962388
s_segment_0_855,-44.961851615199464,16.821921263657046
s_segment_0_856,-33.56714819552455,-4.383682436817832
s_segment_0_877,-44.192944340147605,23.002608947725623
s_segment_0_899,-29.256654438879753,-31.741510289856564
s_segment_0_913,-37.690866167321424,-6.771111703565262
s_segment_0_943,-14.453099295187975,-27.104762740672776
s_segment_0_953,-35.88889385143382,13.796884938063396
s_segment_0_978,-37.79457448899381,-10.438080108769904
s_segment_0_998,-47.10457552938338,4.79226895058127
s_segment_1_1,-42.885218616777856,37.837114159293805
s_segment_1_1005,-39.26087991820531,4.9472969680099785
s_segment_1_102,-40.294604401715596,15.821928109761442
